btc_datetime,eth_datetime,direction,lag_min,btc_close,eth_close
2025-11-15 12:00:00,2025-11-15 11:50:00,UP,-10.0,96204.58,3186.74
2025-11-15 13:50:00,2025-11-15 14:30:00,DOWN,40.0,96005.36,3194.87
2025-11-16 13:10:00,2025-11-16 13:10:00,UP,0.0,95184.00,3117.13
2025-11-16 13:45:00,2025-11-16 13:40:00,DOWN,-5.0,93907.80,3060.77
2025-11-16 15:25:00,2025-11-16 14:15:00,UP,-70.0,94618.51,3099.04
2025-11-18 14:45:00,2025-11-18 14:50:00,DOWN,5.0,93078.94,3138.77
2025-11-19 15:30:00,2025-11-19 15:25:00,UP,-5.0,89382.14,2919.58
2025-11-21 11:55:00,2025-11-21 11:55:00,UP,0.0,84919.59,2762.80
2025-11-21 13:10:00,2025-11-21 13:15:00,DOWN,5.0,83674.03,2724.53
2025-11-21 13:45:00,2025-11-21 13:40:00,UP,-5.0,84810.05,2773.24
2025-11-21 14:50:00,2025-11-21 14:45:00,DOWN,-5.0,84180.46,2754.23
2025-11-22 13:35:00,2025-11-22 13:30:00,DOWN,-5.0,84521.21,2744.94
2025-11-22 13:45:00,2025-11-22 13:45:00,UP,0.0,84657.40,2754.03
2025-11-22 15:40:00,2025-11-22 15:40:00,DOWN,0.0,84423.01,2743.21
2025-11-23 12:00:00,2025-11-23 11:45:00,DOWN,-15.0,86705.44,2824.95
2025-11-23 13:20:00,2025-11-23 13:40:00,UP,20.0,87008.08,2813.50
2025-11-25 13:55:00,2025-11-25 14:00:00,DOWN,5.0,87239.29,2907.59
2025-11-25 15:30:00,2025-11-25 15:10:00,UP,-20.0,87217.83,2933.49
2025-11-28 14:15:00,2025-11-28 13:35:00,UP,-40.0,90963.78,3038.36
2025-11-29 12:10:00,2025-11-29 12:10:00,DOWN,0.0,90699.82,2996.95
2025-11-29 14:05:00,2025-11-29 13:55:00,UP,-10.0,90767.68,2994.72
2025-11-29 15:00:00,2025-11-29 15:00:00,DOWN,0.0,90467.48,2985.48
2025-11-29 15:35:00,2025-11-29 15:30:00,UP,-5.0,90698.01,2991.47
2025-11-30 12:20:00,2025-11-30 12:30:00,DOWN,10.0,91402.36,3034.71
2025-11-30 14:55:00,2025-11-30 15:05:00,UP,10.0,91460.79,3039.17
2025-11-30 15:25:00,2025-11-30 15:25:00,DOWN,0.0,91313.35,3029.95
2025-12-01 12:40:00,2025-12-01 13:15:00,UP,35.0,85201.26,2754.29
2025-12-01 13:45:00,2025-12-01 13:35:00,DOWN,-10.0,84802.23,2733.56
2025-12-01 13:55:00,2025-12-01 14:10:00,UP,15.0,85199.48,2746.06
2025-12-01 14:05:00,2025-12-01 14:15:00,DOWN,10.0,84891.56,2741.20
2025-12-01 15:00:00,2025-12-01 15:00:00,UP,0.0,85464.21,2754.25
2025-12-02 15:10:00,2025-12-02 15:00:00,DOWN,-10.0,91557.33,3010.67
2025-12-04 11:50:00,2025-12-04 11:50:00,DOWN,0.0,92343.96,3166.13
2025-12-04 15:15:00,2025-12-04 15:45:00,UP,30.0,92090.00,3137.10
2025-12-05 13:05:00,2025-12-05 14:45:00,UP,100.0,89653.55,3030.33
2025-12-05 13:45:00,2025-12-05 15:45:00,DOWN,120.0,89207.58,3019.45
2025-12-06 11:40:00,2025-12-06 13:05:00,DOWN,85.0,89824.49,3049.95
2025-12-06 15:55:00,2025-12-06 15:50:00,UP,-5.0,89548.88,3039.56
2025-12-08 13:05:00,2025-12-08 13:05:00,UP,0.0,90353.09,3122.68
2025-12-08 13:55:00,2025-12-08 13:55:00,DOWN,0.0,89921.68,3092.58
2025-12-08 14:45:00,2025-12-08 14:35:00,UP,-10.0,90269.91,3116.98
2025-12-09 15:00:00,2025-12-09 14:45:00,DOWN,-15.0,93617.68,3359.39
2025-12-11 12:15:00,2025-12-11 11:40:00,UP,-35.0,89924.45,3188.21
2025-12-12 13:25:00,2025-12-12 13:35:00,UP,10.0,90540.86,3094.85
2025-12-12 14:10:00,2025-12-12 14:05:00,DOWN,-5.0,90040.16,3072.19
2025-12-13 13:05:00,2025-12-13 13:10:00,UP,5.0,90136.25,3110.08
2025-12-13 15:30:00,2025-12-13 15:55:00,DOWN,25.0,90112.29,3104.24
2025-12-14 11:40:00,2025-12-14 12:25:00,DOWN,45.0,88815.67,3081.79
2025-12-14 13:15:00,2025-12-14 13:05:00,UP,-10.0,89038.73,3090.93
2025-12-14 13:25:00,2025-12-14 15:00:00,DOWN,95.0,88790.56,3089.31
2025-12-15 14:05:00,2025-12-15 14:35:00,UP,30.0,86242.59,2948.67
2025-12-15 15:10:00,2025-12-15 14:45:00,DOWN,-25.0,85761.62,2942.06
2025-12-16 12:30:00,2025-12-16 12:25:00,DOWN,-5.0,87400.76,2931.75
2025-12-16 13:30:00,2025-12-16 13:35:00,UP,5.0,87717.89,2944.05
2025-12-16 14:15:00,2025-12-16 14:15:00,DOWN,0.0,87306.76,2921.92
2025-12-16 14:45:00,2025-12-16 14:45:00,UP,0.0,87645.40,2949.82
2025-12-17 15:40:00,2025-12-17 15:40:00,UP,0.0,86117.04,2827.77
2025-12-19 12:00:00,2025-12-19 12:30:00,DOWN,30.0,87924.33,2958.83
2025-12-19 14:25:00,2025-12-19 14:05:00,UP,-20.0,87658.01,2971.74
2025-12-20 11:45:00,2025-12-20 13:05:00,DOWN,80.0,88139.50,2976.44
2025-12-20 12:05:00,2025-12-20 11:45:00,UP,-20.0,88195.92,2979.17
2025-12-20 13:15:00,2025-12-20 14:10:00,UP,55.0,88208.45,2979.49
2025-12-21 13:10:00,2025-12-21 13:10:00,DOWN,0.0,87986.61,2970.50
2025-12-21 13:50:00,2025-12-21 13:40:00,UP,-10.0,88347.63,2984.21
2025-12-22 11:40:00,2025-12-22 11:40:00,DOWN,0.0,89604.45,3040.82
2025-12-23 12:50:00,2025-12-23 12:35:00,DOWN,-15.0,87453.10,2936.88
2025-12-23 13:30:00,2025-12-23 13:35:00,UP,5.0,87919.74,2947.44
2025-12-23 14:30:00,2025-12-23 14:30:00,DOWN,0.0,87686.14,2932.00
2025-12-23 14:35:00,2025-12-23 15:00:00,UP,25.0,87907.99,2947.14
2025-12-25 12:15:00,2025-12-25 12:10:00,DOWN,-5.0,88096.07,2947.80
2025-12-25 13:00:00,2025-12-25 13:00:00,UP,0.0,88244.47,2956.89
2025-12-25 14:15:00,2025-12-25 14:20:00,DOWN,5.0,88116.88,2951.21
2025-12-26 12:45:00,2025-12-26 12:45:00,UP,0.0,87410.11,2925.58
