date,ticker,fh_high,fh_low,fh_range,day_high,day_low,day_range,width_ratio,width_class,broke_high,broke_low,breakout
2025-03-19,AAPL,217.8241,212.9950,4.8291,217.8241,211.5000,6.3241,0.7636,Wide,0,1,Single
2025-03-20,AAPL,216.5594,211.9892,4.5702,216.5594,211.9892,4.5702,1.0000,Wide,0,0,None
2025-03-21,AAPL,213.5027,210.3761,3.1266,213.6222,209.8400,3.7822,0.8267,Wide,1,1,Double
2025-03-24,AAPL,220.0844,217.6449,2.4395,220.0844,216.7900,3.2944,0.7405,Wide,0,1,Single
2025-03-25,AAPL,222.4343,219.1385,3.2958,222.7928,219.1000,3.6928,0.8925,Wide,1,1,Double
2025-03-26,AAPL,224.0573,221.8867,2.1706,237.0500,211.5800,25.4700,0.0852,Narrow,1,1,Double
2025-03-27,AAPL,221.1498,219.6165,1.5333,221.6078,219.4900,2.1178,0.7240,Wide,1,1,Double
2025-03-28,AAPL,222.8525,218.7501,4.1024,223.0800,218.6804,4.3996,0.9324,Wide,1,1,Double
2025-03-31,AAPL,218.3718,215.3049,3.0669,218.7501,213.9800,4.7701,0.6429,Wide,1,1,Double
2025-04-01,AAPL,222.4343,217.9635,4.4708,222.4343,217.9635,4.4708,1.0000,Wide,0,0,None
2025-04-02,AAPL,223.1497,220.0744,3.0753,223.4997,219.9400,3.5597,0.8639,Wide,1,1,Double
2025-04-03,AAPL,206.6023,201.6536,4.9487,222.9300,201.6536,21.2764,0.2326,Narrow,1,0,Single
2025-04-04,AAPL,199.0249,191.9453,7.0796,205.3700,189.5200,15.8500,0.4467,Medium,1,1,Double
2025-04-07,AAPL,193.3194,173.8729,19.4465,193.3194,173.6500,19.6694,0.9887,Wide,0,1,Single
2025-04-08,AAPL,189.5207,184.2982,5.2225,191.9900,174.3900,17.6000,0.2967,Narrow,1,1,Double
2025-04-09,AAPL,178.6524,171.1546,7.4978,187.6200,167.2800,20.3400,0.3686,Medium,1,1,Double
2025-04-10,AAPL,193.9466,188.1815,5.7651,198.0000,188.1815,9.8185,0.5872,Medium,1,0,Single
2025-04-11,AAPL,192.4232,185.2640,7.1592,194.1800,185.2640,8.9160,0.8030,Wide,1,0,Single
2025-04-14,AAPL,212.0290,203.7346,8.2944,212.0290,197.3000,14.7290,0.5631,Medium,0,1,Single
2025-04-15,AAPL,202.6393,198.9452,3.6941,203.2100,197.7000,5.5100,0.6704,Wide,1,1,Double
2025-04-16,AAPL,199.8414,195.1615,4.6799,201.6000,195.1615,6.4385,0.7269,Wide,1,0,Single
2025-04-17,AAPL,196.3563,193.8073,2.5490,212.0500,193.4400,18.6100,0.1370,Narrow,1,1,Double
2025-04-21,AAPL,192.9709,190.5413,2.4296,212.2800,190.4517,21.8283,0.1113,Narrow,1,1,Double
2025-04-22,AAPL,198.0889,195.1316,2.9573,198.5370,192.3300,6.2070,0.4764,Medium,1,1,Double
2025-04-23,AAPL,207.1101,203.7547,3.3554,207.1101,179.2300,27.8801,0.1204,Narrow,0,1,Single
2025-04-24,AAPL,205.4672,202.0718,3.3954,205.7759,200.6400,5.1359,0.6611,Wide,1,1,Double
2025-04-25,AAPL,208.3547,205.3178,3.0369,208.3547,204.1200,4.2347,0.7171,Wide,0,1,Single
2025-04-28,AAPL,210.5952,207.8470,2.7482,210.5952,205.5500,5.0452,0.5447,Medium,0,1,Single
2025-04-29,AAPL,211.3320,207.4786,3.8534,211.3320,207.4786,3.8534,1.0000,Wide,0,0,None
2025-04-30,AAPL,208.8228,205.7863,3.0365,210.4400,204.1100,6.3300,0.4797,Medium,1,1,Double
2025-05-01,AAPL,211.5909,208.0063,3.5846,212.1784,192.3300,19.8484,0.1806,Narrow,1,1,Double
2025-05-02,AAPL,205.9352,201.2951,4.6401,235.3400,201.2951,34.0449,0.1363,Narrow,1,0,Single
2025-05-05,AAPL,203.2268,197.7703,5.4565,204.4700,190.4000,14.0700,0.3878,Medium,1,1,Double
2025-05-06,AAPL,199.0249,196.1771,2.8478,204.4700,196.1771,8.2929,0.3434,Medium,1,0,Single
2025-05-07,AAPL,198.5868,196.5057,2.0811,200.5900,196.5057,4.0843,0.5095,Medium,1,0,Single
2025-05-08,AAPL,197.2824,193.8467,3.4357,198.4000,193.1200,5.2800,0.6507,Wide,1,1,Double
2025-05-09,AAPL,199.6820,197.2724,2.4096,199.6820,196.1600,3.5220,0.6842,Wide,0,1,Single
