date,ticker,p_1045,p_1115,p_1145,p_1215,ret_control,ret_phantom,ret_post
2025-09-02,AAPL,228.9621,230.6200,230.8000,230.6200,0.007241,0.000781,-0.000780
2025-09-03,AAPL,236.6374,235.4700,235.7100,235.6200,-0.004933,0.001019,-0.000382
2025-09-04,AAPL,236.9268,237.8100,237.8400,237.6600,0.003728,0.000126,-0.000757
2025-09-05,AAPL,238.5537,238.9800,238.9900,238.8100,0.001787,0.000042,-0.000753
2025-09-08,AAPL,238.6436,239.8100,239.4300,239.1100,0.004888,-0.001585,-0.001337
2025-09-09,AAPL,235.4097,237.4800,236.8700,236.7800,0.008794,-0.002569,-0.000380
2025-09-10,AAPL,227.3452,233.4800,232.9300,232.9000,0.026985,-0.002356,-0.000129
2025-09-11,AAPL,228.2135,227.2700,227.4700,227.6600,-0.004134,0.000880,0.000835
2025-09-12,AAPL,233.4635,229.0900,229.0300,229.0900,-0.018733,-0.000262,0.000262
2025-09-15,AAPL,236.0086,234.6800,236.7200,235.7300,-0.005629,0.008693,-0.004182
2025-09-16,AAPL,238.7733,236.3400,236.4100,236.3900,-0.010191,0.000296,-0.000085
2025-09-17,AAPL,239.0228,237.0700,237.0500,237.2800,-0.008170,-0.000084,0.000970
2025-09-18,AAPL,237.4758,240.0600,240.1800,239.8900,0.010882,0.000500,-0.001207
2025-09-19,AAPL,241.4582,237.8600,237.9500,239.7800,-0.014902,0.000378,0.007691
2025-09-22,AAPL,251.9631,245.6200,246.2100,245.8300,-0.025175,0.002402,-0.001543
2025-09-23,AAPL,255.2817,255.7000,255.5700,254.6900,0.001639,-0.000508,-0.003443
2025-09-24,AAPL,251.6986,253.8100,253.7400,254.3300,0.008389,-0.000276,0.002325
2025-09-25,AAPL,252.7765,251.0700,251.2300,251.1300,-0.006751,0.000637,-0.000398
2025-09-26,AAPL,255.0222,255.4000,255.0100,255.5100,0.001481,-0.001527,0.001961
2025-09-29,AAPL,253.6449,254.5400,254.0200,254.2400,0.003529,-0.002043,0.000866
2025-09-30,AAPL,254.8575,252.9000,253.1100,253.0500,-0.007681,0.000830,-0.000237
2025-10-01,AAPL,255.0721,251.3400,252.1300,252.1200,-0.014632,0.003143,-0.000040
2025-10-02,AAPL,256.1401,256.4600,256.0300,256.0500,0.001249,-0.001677,0.000078
2025-10-03,AAPL,257.6871,257.0800,257.0600,256.9100,-0.002356,-0.000078,-0.000584
2025-10-06,AAPL,257.4276,257.3600,257.1900,257.2100,-0.000263,-0.000661,0.000078
2025-10-07,AAPL,255.4614,255.1500,255.2100,255.5800,-0.001219,0.000235,0.001450
2025-10-08,AAPL,256.9036,255.6400,255.6500,255.2200,-0.004919,0.000039,-0.001682
2025-10-09,AAPL,254.3934,256.6800,256.8600,257.3700,0.008988,0.000701,0.001986
2025-10-10,AAPL,254.6164,253.4900,253.4200,252.7700,-0.004424,-0.000276,-0.002565
2025-10-13,AAPL,246.5185,249.0100,248.8100,249.2200,0.010107,-0.000803,0.001648
2025-10-14,AAPL,246.7131,244.5300,244.6500,245.0300,-0.008849,0.000491,0.001553
2025-10-15,AAPL,250.3412,247.3400,247.6800,248.2300,-0.011988,0.001375,0.002221
2025-10-16,AAPL,248.0955,249.7100,249.4800,249.5600,0.006508,-0.000921,0.000321
2025-10-17,AAPL,248.7407,244.5200,245.1300,244.5600,-0.016968,0.002495,-0.002325
2025-10-20,AAPL,259.2241,253.0400,252.6300,252.7200,-0.023856,-0.001620,0.000356
2025-10-21,AAPL,262.4281,260.6500,261.2700,261.2400,-0.006776,0.002379,-0.000115
2025-10-22,AAPL,260.1225,261.8500,261.7000,261.3100,0.006641,-0.000573,-0.001490
2025-10-23,AAPL,258.8299,258.9800,258.7700,258.4000,0.000580,-0.000811,-0.001430
2025-10-24,AAPL,261.0507,259.1200,258.9200,258.9300,-0.007396,-0.000772,0.000039
2025-10-27,AAPL,265.4423,264.3300,264.1300,263.9500,-0.004190,-0.000757,-0.000681
2025-10-28,AAPL,267.7778,268.0000,267.8800,267.9400,0.000830,-0.000448,0.000224
2025-10-29,AAPL,269.2480,268.4600,268.2200,267.9600,-0.002927,-0.000894,-0.000969
2025-10-30,AAPL,269.0454,271.3400,270.8100,271.1100,0.008529,-0.001953,0.001108
2025-10-31,AAPL,270.1932,276.4900,275.8700,276.1800,0.023305,-0.002242,0.001124
2025-11-03,AAPL,267.1890,270.5800,270.4600,270.4700,0.012691,-0.000443,0.000037
2025-11-04,AAPL,268.1671,266.2800,266.3000,266.0300,-0.007037,0.000075,-0.001014
2025-11-05,AAPL,268.7859,269.9900,269.3900,268.8100,0.004480,-0.002222,-0.002153
2025-11-06,AAPL,271.8001,268.8100,268.8100,268.7900,-0.011001,0.000000,-0.000074
2025-11-07,AAPL,270.8619,269.0600,268.8600,268.8200,-0.006652,-0.000743,-0.000149
2025-11-10,AAPL,270.9735,269.5500,269.4100,269.3600,-0.005253,-0.000519,-0.000186
2025-11-11,AAPL,272.9317,268.4800,268.8700,268.5600,-0.016311,0.001453,-0.001153
2025-11-12,AAPL,273.6359,276.1500,276.4100,276.1700,0.009188,0.000942,-0.000868
2025-11-13,AAPL,272.3222,273.3400,273.1800,273.2800,0.003737,-0.000585,0.000366
2025-11-14,AAPL,273.8407,272.9200,272.5900,272.5800,-0.003362,-0.001209,-0.000037
2025-11-17,AAPL,268.2960,272.2400,271.3200,271.3600,0.014700,-0.003379,0.000147
2025-11-18,AAPL,267.2969,267.7000,267.2300,267.9700,0.001508,-0.001756,0.002769
2025-11-19,AAPL,271.0034,266.4300,266.6700,267.1000,-0.016876,0.000901,0.001612
2025-11-20,AAPL,273.8707,269.4800,268.6300,269.0100,-0.016032,-0.003154,0.001415
2025-11-21,AAPL,269.3400,266.4200,265.8900,264.5100,-0.010841,-0.001989,-0.005190
2025-11-24,AAPL,273.4311,271.7200,270.7000,270.5400,-0.006258,-0.003754,-0.000591
2025-11-25,AAPL,279.2856,275.5400,275.5800,274.8600,-0.013411,0.000145,-0.002613
2025-11-26,AAPL,276.9580,277.4700,278.0200,278.0400,0.001849,0.001982,0.000072
2025-11-28,AAPL,276.2485,278.1400,278.2700,278.3900,0.006847,0.000467,0.000431
2025-12-01,AAPL,277.1676,276.8600,276.5700,277.1600,-0.001110,-0.001047,0.002133
2025-12-02,AAPL,285.6795,282.3800,282.1600,282.2300,-0.011550,-0.000779,0.000248
2025-12-03,AAPL,285.9892,285.9800,285.9900,286.0700,-0.000032,0.000035,0.000280
2025-12-04,AAPL,281.0739,283.4600,284.0300,283.8900,0.008489,0.002011,-0.000493
2025-12-05,AAPL,280.0676,280.8400,280.6900,280.4500,0.002758,-0.000534,-0.000855
2025-12-08,AAPL,277.1276,278.1800,278.0000,278.2500,0.003798,-0.000647,0.000899
2025-12-09,AAPL,277.6471,276.9900,276.8700,277.2300,-0.002367,-0.000433,0.001300
