date,ticker,datetime,zone,direction,close,roll_high,roll_low,false_breakout
2025-06-25,V,2025-06-25 11:00:00,Zone2_10-12,UP,350.6700,348.0874,346.0392,0
2025-06-25,V,2025-06-25 11:50:00,Zone2_10-12,DOWN,346.8148,350.9700,349.9100,1
2025-06-26,V,2025-06-26 11:00:00,Zone2_10-12,UP,344.6600,343.1261,341.8658,0
2025-06-26,V,2025-06-26 12:20:00,Zone3_12-1330,DOWN,342.8079,345.0100,344.7100,1
2025-06-26,V,2025-06-26 13:50:00,Zone4_1330-1445,DOWN,342.4550,344.8400,344.5100,1
2025-06-27,V,2025-06-27 11:00:00,Zone2_10-12,DOWN,344.8100,348.0377,346.5569,1
2025-06-27,V,2025-06-27 12:25:00,Zone3_12-1330,UP,349.5291,344.7200,344.1200,1
2025-06-27,V,2025-06-27 13:30:00,Zone4_1330-1445,UP,348.9623,344.6000,344.2100,1
2025-06-27,V,2025-06-27 14:15:00,Zone4_1330-1445,UP,347.6002,344.7400,344.4100,1
2025-06-30,V,2025-06-30 13:00:00,Zone3_12-1330,UP,351.8755,346.9900,346.6200,1
2025-06-30,V,2025-06-30 13:55:00,Zone4_1330-1445,UP,351.8259,347.0700,346.7400,1
2025-07-01,V,2025-07-01 13:15:00,Zone3_12-1330,UP,353.7248,352.5500,352.2000,1
2025-07-01,V,2025-07-01 13:55:00,Zone4_1330-1445,UP,354.7543,352.7200,351.9800,1
2025-07-01,V,2025-07-01 14:50:00,Zone5_1445-16,UP,354.1921,352.7400,352.2700,1
2025-07-02,V,2025-07-02 11:00:00,Zone2_10-12,UP,354.1000,351.3187,349.2208,0
2025-07-02,V,2025-07-02 11:40:00,Zone2_10-12,DOWN,350.0162,354.4100,353.7000,1
2025-07-02,V,2025-07-02 14:40:00,Zone4_1330-1445,DOWN,350.8315,354.3200,353.7900,1
2025-07-03,V,2025-07-03 11:00:00,Zone2_10-12,DOWN,352.2700,356.3297,355.2162,1
2025-07-03,V,2025-07-03 13:25:00,Zone3_12-1330,UP,356.6380,352.8900,352.3200,1
2025-07-07,V,2025-07-07 11:00:00,Zone2_10-12,UP,355.4400,354.1126,353.0686,0
2025-07-07,V,2025-07-07 13:20:00,Zone3_12-1330,DOWN,353.8590,356.4400,355.8500,1
2025-07-07,V,2025-07-07 14:40:00,Zone4_1330-1445,DOWN,353.3370,357.0700,356.0300,1
2025-07-10,V,2025-07-10 10:35:00,Zone2_10-12,DOWN,352.1340,354.9825,353.2476,1
2025-07-11,V,2025-07-11 11:00:00,Zone2_10-12,UP,352.8700,348.8827,347.8985,0
2025-07-11,V,2025-07-11 11:45:00,Zone2_10-12,DOWN,345.8802,352.7600,351.9800,1
2025-07-11,V,2025-07-11 13:10:00,Zone3_12-1330,DOWN,345.7410,352.2700,351.1200,1
2025-07-11,V,2025-07-11 14:30:00,Zone4_1330-1445,DOWN,344.0706,351.9100,350.9700,1
2025-07-14,V,2025-07-14 11:00:00,Zone2_10-12,DOWN,345.4000,349.7975,348.5250,0
2025-07-14,V,2025-07-14 11:50:00,Zone2_10-12,UP,348.5845,344.9100,344.0300,1
2025-07-14,V,2025-07-14 13:30:00,Zone4_1330-1445,UP,348.8629,344.9900,344.6200,1
2025-07-15,V,2025-07-15 11:00:00,Zone2_10-12,UP,348.0100,346.7452,345.6316,0
2025-07-15,V,2025-07-15 11:35:00,Zone2_10-12,DOWN,345.7907,348.2100,347.4900,1
2025-07-15,V,2025-07-15 12:35:00,Zone3_12-1330,DOWN,345.4924,348.1700,347.1500,1
2025-07-15,V,2025-07-15 14:15:00,Zone4_1330-1445,DOWN,346.3077,348.7600,347.4500,1
2025-07-16,V,2025-07-16 12:10:00,Zone3_12-1330,UP,346.6358,345.0800,344.8300,1
2025-07-17,V,2025-07-17 15:45:00,Zone5_1445-16,DOWN,345.1000,347.1900,346.2500,1
2025-07-18,V,2025-07-18 11:00:00,Zone2_10-12,UP,348.6300,346.8545,345.6018,1
2025-07-18,V,2025-07-18 13:00:00,Zone3_12-1330,DOWN,346.1339,348.5300,348.2200,1
2025-07-21,V,2025-07-21 11:00:00,Zone2_10-12,DOWN,347.5200,351.1596,349.6086,1
2025-07-21,V,2025-07-21 12:20:00,Zone3_12-1330,UP,350.8415,347.7800,347.4300,1
2025-07-21,V,2025-07-21 14:20:00,Zone4_1330-1445,UP,350.9409,347.6800,347.2800,1
2025-07-23,V,2025-07-23 14:20:00,Zone4_1330-1445,UP,352.8697,351.1600,350.2800,1
2025-07-23,V,2025-07-23 15:35:00,Zone5_1445-16,UP,353.2326,350.9700,349.9200,1
2025-07-24,V,2025-07-24 11:55:00,Zone2_10-12,UP,354.8533,353.5400,353.0200,1
2025-07-25,V,2025-07-25 14:20:00,Zone4_1330-1445,UP,355.3156,353.1600,352.1100,1
2025-07-25,V,2025-07-25 15:10:00,Zone5_1445-16,DOWN,348.9800,355.4647,350.9300,1
2025-07-28,V,2025-07-28 12:50:00,Zone3_12-1330,DOWN,353.7695,355.4900,354.9700,1
2025-07-30,V,2025-07-30 11:00:00,Zone2_10-12,DOWN,342.7100,352.3627,350.6824,0
2025-07-30,V,2025-07-30 13:20:00,Zone3_12-1330,UP,351.5474,342.5700,342.0700,1
2025-08-01,V,2025-08-01 11:00:00,Zone2_10-12,UP,342.5200,339.6661,338.1946,0
2025-08-01,V,2025-08-01 13:20:00,Zone3_12-1330,DOWN,336.9021,342.0400,341.4700,1
2025-08-04,V,2025-08-04 15:55:00,Zone5_1445-16,UP,342.7700,339.0400,338.7500,0
2025-08-05,V,2025-08-05 11:00:00,Zone2_10-12,UP,341.4500,335.0627,333.8994,0
2025-08-05,V,2025-08-05 12:35:00,Zone3_12-1330,DOWN,337.0313,341.6000,340.9600,1
2025-08-06,V,2025-08-06 10:10:00,Zone2_10-12,DOWN,334.7172,337.4489,335.9774,0
2025-08-06,V,2025-08-06 13:40:00,Zone4_1330-1445,UP,337.9957,336.4700,336.0700,1
2025-08-06,V,2025-08-06 14:40:00,Zone4_1330-1445,UP,338.3238,336.4600,336.1800,1
2025-08-07,V,2025-08-07 11:00:00,Zone2_10-12,UP,338.8500,336.4049,335.0627,1
2025-08-07,V,2025-08-07 11:45:00,Zone2_10-12,DOWN,331.4337,339.3200,334.1082,1
2025-08-07,V,2025-08-07 12:40:00,Zone3_12-1330,DOWN,328.8983,339.7000,339.0700,1
2025-08-08,V,2025-08-08 11:00:00,Zone2_10-12,DOWN,331.4400,334.7247,332.6168,0
2025-08-08,V,2025-08-08 12:10:00,Zone3_12-1330,UP,333.4421,331.4800,331.2000,0
2025-08-08,V,2025-08-08 13:10:00,Zone3_12-1330,UP,333.9094,331.7700,331.4700,1
2025-08-08,V,2025-08-08 14:50:00,Zone5_1445-16,UP,334.7048,331.6800,331.3600,1
2025-08-11,V,2025-08-11 11:00:00,Zone2_10-12,UP,336.4500,334.4164,332.9350,0
2025-08-11,V,2025-08-11 11:35:00,Zone2_10-12,DOWN,332.9778,336.4300,335.8000,1
2025-08-11,V,2025-08-11 12:30:00,Zone3_12-1330,DOWN,333.4769,336.4500,335.5400,1
2025-08-13,V,2025-08-13 11:00:00,Zone2_10-12,DOWN,336.3400,341.1675,339.7084,1
2025-08-13,V,2025-08-13 12:40:00,Zone3_12-1330,UP,341.5162,336.4400,335.9600,1
2025-08-14,V,2025-08-14 14:45:00,Zone5_1445-16,UP,343.7273,341.6000,341.1300,1
2025-08-15,V,2025-08-15 10:15:00,Zone2_10-12,DOWN,343.3787,346.9642,344.5041,1
2025-08-15,V,2025-08-15 12:00:00,Zone3_12-1330,DOWN,343.0002,344.9500,344.2500,1
2025-08-18,V,2025-08-18 13:45:00,Zone4_1330-1445,DOWN,340.9361,342.3500,342.1000,1
