date,half,ticker,direction,close,ema9,ema21
2026-01-06,PM,AMZN,UP,233.2200,230.8319,230.5262
2026-01-20,AM,AMZN,DOWN,232.1700,238.7104,239.0123
2026-01-27,AM,AMZN,UP,239.5300,237.3091,237.1340
2026-02-05,AM,AMZN,DOWN,232.9200,238.9720,239.2318
2026-03-05,AM,AMZN,UP,216.1000,208.9344,208.2682
2026-03-16,PM,AMZN,DOWN,209.4000,210.7633,210.9122
2026-03-17,PM,AMZN,UP,212.3000,211.0845,211.0332
2025-02-03,PM,AVGO,DOWN,212.7500,214.3180,214.5318
2025-02-04,AM,AVGO,UP,216.2200,214.6984,214.6853
2025-02-21,AM,AVGO,DOWN,223.4800,226.4903,226.6993
2025-04-11,PM,AVGO,UP,172.6100,166.8940,166.3076
2025-04-22,PM,AVGO,DOWN,167.5400,169.9359,170.1754
2025-04-23,AM,AVGO,UP,174.8400,170.9167,170.5994
2025-08-20,PM,AVGO,DOWN,293.7100,300.6257,301.4917
2025-08-29,AM,AVGO,UP,304.8200,298.5482,297.8456
2025-09-02,PM,AVGO,DOWN,288.1900,296.2892,297.0502
2025-09-04,AM,AVGO,UP,303.7900,298.4664,297.8966
2025-09-24,AM,AVGO,DOWN,339.1500,344.1602,344.4412
2025-10-09,PM,AVGO,UP,344.0300,338.8766,338.2370
2025-10-23,PM,AVGO,DOWN,338.3600,345.1039,345.4205
2025-10-24,AM,AVGO,UP,349.9700,346.0771,345.8341
2025-11-06,AM,AVGO,DOWN,359.8400,360.9253,360.9444
2025-11-06,PM,AVGO,UP,361.8200,361.1042,361.0240
2025-11-07,AM,AVGO,DOWN,350.8900,359.0614,360.1027
2025-11-20,PM,AVGO,UP,367.3000,351.4760,351.1678
2025-11-21,AM,AVGO,DOWN,343.2900,349.8388,350.4516
2025-11-25,AM,AVGO,UP,384.5500,354.8158,352.2978
2025-12-15,PM,AVGO,DOWN,358.7700,381.6411,384.6664
2026-01-14,PM,AVGO,UP,350.7500,347.0818,346.7400
2026-01-20,AM,AVGO,DOWN,343.1200,346.5872,346.7358
2026-02-10,AM,AVGO,UP,345.9800,330.3100,329.3654
2026-02-17,AM,AVGO,DOWN,320.3900,331.1857,332.1119
2026-03-06,AM,AVGO,UP,331.4700,324.8010,324.0092
2026-03-17,PM,AVGO,DOWN,325.3300,330.1482,330.7400
2025-02-03,PM,BA,DOWN,173.0100,173.1780,173.2009
2025-02-04,AM,BA,UP,174.7200,173.4864,173.3390
2025-02-24,PM,BA,DOWN,177.0100,181.1106,181.5669
2025-03-20,AM,BA,UP,171.5000,162.9124,162.3427
2025-04-02,PM,BA,DOWN,166.8500,171.3855,171.9220
