date,ticker,am_return,pm_return,is_stress
2025-10-15,BABA,-0.009996,0.008474,False
2025-10-15,AVGO,-0.009204,0.008273,False
2025-10-16,SNOW,-0.017317,0.048647,False
2025-10-16,MU,-0.016819,0.009668,False
2025-10-17,MARA,-0.026571,0.044094,True
2025-10-17,PLTR,-0.026217,0.024843,True
2025-10-20,AAPL,-0.010441,0.013572,False
2025-10-20,AMZN,-0.009211,0.007267,False
2025-10-21,IBIT,-0.009558,0.011449,False
2025-10-21,COIN,-0.009554,0.008613,False
2025-10-22,C,-0.017568,0.022470,False
2025-10-22,GS,-0.012677,0.015888,False
2025-10-23,SNOW,-0.004269,-0.005937,False
2025-10-23,AAPL,-0.003175,-0.005065,False
2025-10-24,AMD,-0.020751,0.017163,False
2025-10-24,COIN,-0.013717,0.015557,False
2025-10-27,PLTR,-0.006191,0.009318,False
2025-10-27,MSFT,-0.004949,0.003264,False
2025-10-28,COIN,-0.010517,0.003645,False
2025-10-28,MU,-0.009297,-0.009824,False
2025-10-29,TSM,-0.006631,0.005677,False
2025-10-29,C,-0.005373,0.003312,False
2025-10-30,V,-0.003136,-0.002531,True
2025-10-30,AAPL,-0.001292,-0.000516,True
2025-10-31,AMZN,-0.005083,0.005948,False
2025-10-31,PLTR,-0.004819,0.006961,False
2025-11-03,AMZN,-0.037790,-0.000733,False
2025-11-03,MARA,-0.033593,0.035595,False
2025-11-04,NVDA,-0.020678,-0.000841,True
2025-11-04,TSLA,-0.020141,-0.001054,True
2025-11-05,MU,-0.023925,0.014670,False
2025-11-05,MARA,-0.016555,0.014176,False
2025-11-06,C,-0.013009,0.018711,False
2025-11-06,SNOW,-0.011034,0.039617,False
2025-11-07,BA,-0.018107,0.019431,True
2025-11-07,MSFT,-0.006829,-0.000040,True
2025-11-10,COIN,-0.011826,0.012061,False
2025-11-10,GS,-0.006988,-0.000396,False
2025-11-11,NVDA,-0.018948,-0.003873,False
2025-11-11,BIDU,-0.011577,0.013462,False
2025-11-12,AMD,-0.012010,0.012396,False
2025-11-12,MARA,-0.008690,0.007417,False
2025-11-13,BIDU,-0.043284,0.064011,True
2025-11-13,MU,-0.014476,0.018377,True
2025-11-14,COST,-0.001301,0.001168,True
2025-11-14,V,0.001505,-0.002740,True
2025-11-17,SNOW,-0.008228,-0.002921,False
2025-11-17,TXN,-0.005295,0.007928,False
2025-11-18,AAPL,-0.006282,0.000410,True
