ticker,date,direction,adx,pdi,mdi,fwd1_ret,fwd3_ret
C,2025-10-27,UP,14.20,23.13,21.89,0.016055,-0.003861
C,2025-11-18,DOWN,9.51,14.72,20.94,0.013012,0.008365
C,2025-11-26,UP,8.93,22.28,16.28,0.013576,0.019919
C,2026-01-13,DOWN,38.56,22.13,17.29,0.003333,-0.000598
C,2026-02-03,UP,22.62,18.17,15.84,0.017207,0.002925
C,2026-02-13,DOWN,18.72,13.71,23.59,-0.002074,0.030478
COIN,2025-03-26,UP,24.45,20.59,27.47,-0.055490,-0.165147
COIN,2025-03-28,DOWN,23.73,17.98,29.19,-0.078309,-0.070083
COIN,2025-04-14,UP,29.55,18.36,29.49,-0.022488,-0.040291
COIN,2025-06-03,DOWN,27.44,26.23,15.63,0.036774,0.001646
COIN,2025-06-04,UP,27.50,25.94,14.50,0.002904,-0.001742
COIN,2025-06-06,DOWN,27.10,23.78,16.11,0.033267,0.029780
COIN,2025-06-09,UP,26.71,23.80,15.36,0.004849,-0.040729
COIN,2025-06-12,DOWN,25.12,22.28,19.54,-0.039021,0.035827
COIN,2025-06-18,UP,21.71,26.98,20.58,0.206959,0.224690
COIN,2025-07-29,DOWN,36.47,22.99,17.07,-0.016554,-0.117180
COIN,2025-09-10,UP,13.77,24.86,17.01,-0.013901,-0.002941
COIN,2025-09-25,DOWN,17.17,21.73,24.63,-0.004610,0.056667
COIN,2025-10-01,UP,16.88,31.31,18.53,0.024499,0.128327
COIN,2025-10-15,DOWN,17.58,21.99,31.86,-0.019255,-0.002652
COIN,2025-10-27,UP,17.57,28.85,27.30,-0.005119,-0.057906
COIN,2025-10-31,DOWN,14.61,24.86,27.77,0.002706,-0.070571
COIN,2025-12-04,UP,22.03,25.18,27.61,-0.009072,0.004536
COIN,2025-12-15,DOWN,14.71,21.01,31.24,-0.058128,-0.051615
COIN,2026-01-06,UP,18.72,31.09,21.70,-0.017446,-0.029324
COIN,2026-01-12,DOWN,13.73,24.31,23.56,0.024481,0.054175
COIN,2026-01-14,UP,14.21,31.11,19.38,-0.011613,-0.057050
COIN,2026-01-17,DOWN,11.97,25.57,25.67,-0.044785,-0.050508
COIN,2026-02-26,UP,42.20,24.60,30.59,-0.030980,-0.064982
COST,2025-04-01,UP,35.68,14.64,19.92,0.005353,0.010065
COST,2025-04-07,DOWN,32.02,11.36,27.52,0.029527,0.064724
COST,2025-04-10,UP,31.33,20.05,22.92,0.015473,0.027889
COST,2025-05-30,DOWN,28.25,11.82,28.18,0.043621,0.055946
COST,2025-06-02,UP,28.62,12.45,24.95,0.014299,0.010459
COST,2025-06-09,DOWN,31.46,10.18,26.87,-0.002847,-0.014591
COST,2025-08-05,UP,21.52,18.52,15.68,-0.010789,0.023026
COST,2025-08-25,DOWN,15.00,14.84,16.40,-0.017389,-0.008218
COST,2025-09-08,UP,11.67,16.21,14.96,0.007149,-0.003590
COST,2025-09-17,DOWN,12.62,17.42,14.18,0.009321,-0.005877
COST,2025-10-10,UP,15.16,21.70,14.46,-0.013497,0.006514
COST,2025-10-28,DOWN,14.55,16.64,13.10,-0.009292,-0.013221
COST,2025-11-05,UP,13.03,22.79,13.99,-0.012252,-0.015722
COST,2025-11-06,DOWN,12.14,20.49,20.27,0.002158,-0.007655
COST,2025-12-02,UP,15.53,16.23,18.97,0.008496,-0.018035
COST,2025-12-05,DOWN,15.45,14.47,22.69,-0.001755,-0.009122
COST,2026-01-06,UP,20.21,19.23,17.36,0.015097,0.049900
COST,2026-02-02,DOWN,14.59,21.67,21.91,0.032107,0.061408
COST,2026-02-03,UP,14.66,25.51,18.65,0.010490,0.020546
COST,2026-02-23,DOWN,12.11,17.78,22.97,0.013733,0.010990
COST,2026-02-24,UP,14.31,13.89,34.76,-0.000441,-0.011042
COST,2026-02-27,DOWN,20.17,12.39,32.70,0.018652,0.014063
COST,2026-02-28,UP,21.66,12.89,30.83,0.001333,0.000209
COST,2026-03-06,DOWN,29.79,9.65,33.01,0.021308,0.026435
COST,2026-03-10,UP,33.14,13.65,35.07,-0.003596,0.005974
COST,2026-03-12,DOWN,34.21,13.99,34.54,0.017861,0.014465
COST,2026-03-13,UP,33.46,19.39,31.45,0.001917,-0.017855
GOOGL,2025-03-26,UP,14.62,24.35,26.75,-0.024972,-0.086987
GOOGL,2025-03-28,DOWN,14.69,20.03,31.73,-0.039230,-0.041472
GOOGL,2025-04-14,UP,24.91,39.04,16.66,-0.000126,-0.031644
GOOGL,2025-04-21,DOWN,30.83,43.30,13.02,-0.001614,0.042703
GOOGL,2025-04-24,UP,36.07,42.97,11.15,0.060948,0.045598
GOOGL,2025-05-08,DOWN,33.51,25.19,32.26,-0.007820,0.015510
GOOGL,2025-05-15,UP,24.21,31.08,25.22,0.008956,-0.012345
GOOGL,2025-06-04,DOWN,19.31,25.86,24.01,0.023082,0.045561
GOOGL,2025-06-05,UP,18.83,28.92,22.47,0.002828,0.023622
GOOGL,2025-06-21,DOWN,23.44,17.53,40.76,-0.002760,0.008340
GOOGL,2025-06-28,UP,24.36,26.34,30.76,0.019253,-0.018299
GOOGL,2025-09-30,DOWN,31.51,28.60,27.66,-0.011818,0.004596
GOOGL,2025-10-07,UP,22.93,26.50,22.81,-0.015162,-0.028837
GOOGL,2025-10-08,DOWN,21.58,24.94,23.01,0.002205,-0.037163
GOOGL,2025-10-16,UP,22.49,22.31,38.99,-0.006963,0.007201
GOOGL,2025-12-13,DOWN,44.12,25.23,14.57,0.007869,-0.002947
GOOGL,2025-12-24,UP,32.97,25.89,13.59,-0.002282,-0.014835
GOOGL,2026-01-21,DOWN,36.50,18.67,18.71,0.049829,0.026246
GOOGL,2026-01-22,UP,34.71,20.29,16.13,-0.013335,-0.025209
GOOGL,2026-02-05,DOWN,23.33,12.96,29.06,0.038040,0.014874
GOOGL,2026-03-12,UP,49.00,11.80,29.09,0.000783,-0.003392
GS,2025-03-24,UP,26.23,27.05,15.42,0.014169,-0.027469
GS,2025-03-28,DOWN,22.78,21.63,21.06,-0.039174,-0.025804
GS,2025-04-23,UP,20.55,22.92,20.43,-0.015018,0.024429
GS,2025-08-20,DOWN,16.57,12.90,19.40,-0.005798,0.027849
GS,2025-08-25,UP,15.56,18.86,14.56,-0.001716,0.015318
GS,2025-10-02,DOWN,30.98,18.91,16.01,-0.003808,0.018176
GS,2025-10-07,UP,29.15,21.36,12.09,-0.009488,-0.021377
GS,2025-10-08,DOWN,28.44,19.68,13.34,-0.017347,-0.020663
GS,2025-10-27,UP,21.21,20.37,15.13,0.001330,-0.011380
GS,2025-11-18,DOWN,16.49,17.07,17.65,0.013810,0.016541
GS,2025-11-26,UP,17.65,24.33,12.20,0.016036,0.012596
GS,2026-01-26,DOWN,30.64,20.18,19.62,0.010920,0.025444
GS,2026-02-03,UP,22.82,21.26,16.41,-0.011150,-0.049129
GS,2026-02-05,DOWN,20.83,16.54,21.44,-0.005547,0.024841
GS,2026-02-10,UP,17.46,19.83,16.12,0.016992,-0.039442
GS,2026-02-13,DOWN,16.16,14.30,19.58,0.000233,0.014250
JPM,2025-03-24,UP,30.14,29.68,18.29,0.015498,0.022604
JPM,2025-04-03,DOWN,20.68,19.72,29.07,-0.063243,-0.049750
JPM,2025-04-14,UP,21.86,20.88,23.29,-0.020368,-0.032266
JPM,2025-08-04,DOWN,27.35,12.60,33.35,0.011331,0.009767
JPM,2025-08-15,UP,30.25,13.97,21.90,-0.015341,-0.013492
JPM,2025-08-18,DOWN,29.93,13.03,22.08,-0.000383,0.002469
JPM,2025-08-25,UP,26.51,15.31,18.69,-0.003410,0.014631
JPM,2025-09-09,DOWN,16.16,15.73,17.08,0.012128,0.039727
JPM,2025-09-10,UP,15.28,16.77,15.54,0.015183,0.038809
JPM,2025-10-03,DOWN,21.28,13.14,13.90,0.012315,0.006354
JPM,2025-10-29,UP,47.39,13.38,29.50,0.001586,0.022005
JPM,2025-11-17,DOWN,32.85,13.18,25.01,-0.013583,0.010204
JPM,2025-12-01,UP,23.13,24.60,19.28,-0.007536,0.000161
JPM,2025-12-11,DOWN,18.56,24.21,21.42,0.026377,0.033589
JPM,2025-12-12,UP,18.16,25.55,19.69,0.009463,-0.000285
JPM,2026-01-14,DOWN,17.36,14.78,24.71,-0.000388,-0.006863
JPM,2026-02-04,UP,20.45,23.32,18.32,0.004388,0.024674
JPM,2026-02-13,DOWN,16.26,14.79,24.85,0.003079,0.017748
MARA,2025-03-25,UP,20.82,24.10,18.98,-0.009736,-0.073018
MARA,2025-03-31,DOWN,17.99,17.99,28.51,-0.038875,-0.060380
