ticker,entry_date,exit_date,entry_price,exit_price,return_pct,bars_held,exit_type,rsi_at_entry,vix_at_entry,year
JPM,2022-05-12,2022-05-17,116.61,121.68,4.3478,6,ema21,31.73,32.56,2022
JPM,2022-06-10,2022-06-17,119.7462,113.3,-5.3832,10,hard_max,29.88,26.09,2022
JPM,2022-06-17,2022-06-24,112.91,117.36,3.9412,8,ema21,23.66,32.95,2022
JPM,2022-09-22,2022-09-29,111.57,105.87,-5.1089,10,hard_max,34.77,27.99,2022
JPM,2025-04-04,2025-04-09,211.93,234.27,10.5412,7,ema21,20.81,30.02,2025
JPM,2025-11-21,2025-11-26,297.1,307.25,3.4164,6,ema21,34.02,26.42,2025
MARA,2021-05-13,2021-05-20,18.835,21.5196,14.2533,10,hard_max,23.78,27.59,2021
MARA,2022-01-21,2022-01-28,22.055,22.0,-0.2494,10,hard_max,27.1,25.59,2022
MARA,2022-05-06,2022-05-13,15.19,11.475,-24.4569,10,hard_max,31.83,31.2,2022
MARA,2022-06-29,2022-07-07,5.755,6.495,12.8584,10,ema21,30.58,28.36,2022
MARA,2022-11-03,2022-11-10,10.5,9.975,-5.0,10,hard_max,33.63,25.86,2022
MARA,2024-08-07,2024-08-14,16.25,15.21,-6.4,10,hard_max,30.41,27.71,2024
MARA,2025-04-08,2025-04-09,10.46,12.3,17.5908,2,ema21,33.31,46.98,2025
MARA,2025-11-21,2025-12-01,10.02,11.51,14.8703,10,hard_max,19.77,26.42,2025
META,2021-12-01,2021-12-07,318.135,323.96,1.831,8,ema21,32.97,27.19,2021
META,2022-01-21,2022-01-28,308.05,297.12,-3.5481,10,hard_max,33.83,25.59,2022
META,2022-02-18,2022-02-28,206.6101,208.81,1.0648,10,hard_max,24.44,28.11,2022
META,2022-03-04,2022-03-11,199.94,189.9617,-4.9906,10,hard_max,33.67,30.48,2022
META,2022-06-10,2022-06-17,175.68,165.235,-5.9455,10,hard_max,32.97,26.09,2022
META,2022-08-30,2022-09-01,156.46,165.4,5.7139,5,ema21,31.93,26.21,2022
META,2022-09-14,2022-09-21,151.16,146.1415,-3.32,10,hard_max,32.98,27.27,2022
META,2022-09-21,2022-09-28,142.08,141.59,-0.3449,10,hard_max,27.01,27.16,2022
META,2022-10-12,2022-10-17,127.19,134.12,5.4485,6,ema21,28.52,33.63,2022
META,2022-11-02,2022-11-09,90.52,102.7786,13.5424,9,ema21,22.98,25.81,2022
META,2025-04-08,2025-04-09,510.74,584.47,14.4359,2,ema21,28.34,46.98,2025
META,2026-03-13,2026-03-20,615.77,594.48,-3.4575,10,hard_max,33.73,27.29,2026
META,2026-03-26,2026-04-01,547.15,590.63,7.9466,7,ema21,22.71,25.33,2026
MSFT,2021-12-03,2021-12-07,319.37,334.835,4.8423,4,ema21,33.49,27.95,2021
MSFT,2022-01-21,2022-01-28,295.76,303.39,2.5798,9,ema21,33.58,25.59,2022
MSFT,2022-05-11,2022-05-18,260.66,254.14,-2.5013,10,hard_max,34.67,32.99,2022
MSFT,2022-06-10,2022-06-17,252.89,247.53,-2.1195,10,hard_max,30.75,26.09,2022
MSFT,2022-08-30,2022-09-07,261.48,255.42,-2.3176,10,hard_max,21.98,26.21,2022
MSFT,2022-09-14,2022-09-21,252.025,245.03,-2.7755,10,hard_max,33.52,27.27,2022
MSFT,2022-11-03,2022-11-07,216.89,227.93,5.0901,5,ema21,31.3,25.86,2022
MSFT,2024-08-07,2024-08-13,398.34,414.33,4.0142,7,ema21,32.9,27.71,2024
MSFT,2025-03-11,2025-03-14,377.19,388.32,2.9508,7,ema21,31.67,27.86,2025
MSFT,2025-04-08,2025-04-09,355.5,379.13,6.647,1,ema21,26.45,46.98,2025
MSFT,2025-11-21,2025-11-28,472.85,492.08,4.0668,8,ema21,24.21,26.42,2025
MSFT,2026-03-19,2026-03-26,387.92,368.44,-5.0217,10,hard_max,32.25,25.09,2026
MSFT,2026-03-26,2026-04-02,365.76,373.49,2.1134,10,ema21,18.41,25.33,2026
MSTR,2021-05-13,2021-05-20,48.561,46.0938,-5.0807,10,hard_max,23.55,27.59,2021
MSTR,2022-01-21,2022-01-28,37.625,33.812,-10.1342,10,hard_max,24.51,25.59,2022
MSTR,2022-04-27,2022-05-04,39.022,33.7105,-13.6116,10,hard_max,32.75,33.52,2022
MSTR,2022-05-06,2022-05-13,29.665,20.2165,-31.8507,10,hard_max,27.27,31.2,2022
MSTR,2022-09-01,2022-09-09,21.9832,25.9235,17.9244,10,ema21,22.03,25.87,2022
MSTR,2022-11-09,2022-11-16,17.866,16.6325,-6.9042,10,hard_max,27.54,25.54,2022
MSTR,2024-08-07,2024-08-14,124.7,130.31,4.4988,10,hard_max,29.97,27.71,2024
MSTR,2026-03-31,2026-04-08,122.18,128.41,5.099,10,ema21,33.51,30.61,2026
MU,2021-05-13,2021-05-20,76.96,80.61,4.7427,10,hard_max,32.39,27.59,2021
MU,2022-01-21,2022-01-28,82.75,77.2579,-6.637,10,hard_max,25.82,25.59,2022
MU,2022-06-10,2022-06-17,62.62,55.75,-10.9709,10,hard_max,28.84,26.09,2022
MU,2022-06-29,2022-07-06,55.565,57.395,3.2934,8,ema21,33.54,28.36,2022
MU,2022-09-07,2022-09-09,54.99,57.3,4.2008,4,ema21,33.65,26.91,2022
MU,2022-09-14,2022-09-21,53.645,51.305,-4.362,10,hard_max,34.14,27.27,2022
MU,2024-08-07,2024-08-13,86.8,97.13,11.9009,7,ema21,20.14,27.71,2024
MU,2024-12-19,2024-12-27,86.63,88.63,2.3087,10,hard_max,30.9,27.62,2024
MU,2025-04-04,2025-04-09,65.05,77.89,19.7387,7,ema21,17.7,30.02,2025
MU,2026-03-27,2026-04-01,358.38,375.96,4.9054,6,ema21,31.54,27.44,2026
NVDA,2021-05-13,2021-05-20,13.573,14.5739,7.3741,10,ema21,26.2,27.59,2021
NVDA,2022-05-11,2022-05-17,16.991,17.955,5.6738,8,ema21,33.42,32.99,2022
NVDA,2022-07-01,2022-07-07,14.4471,15.786,9.2676,6,ema21,30.46,28.71,2022
NVDA,2022-08-30,2022-09-07,15.232,13.5376,-11.1241,10,hard_max,27.46,26.21,2022
NVDA,2022-09-14,2022-09-21,13.1599,13.552,2.9791,10,hard_max,30.28,27.27,2022
NVDA,2022-09-22,2022-09-29,12.559,12.225,-2.6594,10,hard_max,32.11,27.99,2022
NVDA,2022-10-12,2022-10-19,11.501,12.057,4.8344,10,ema21,33.37,33.63,2022
NVDA,2025-04-04,2025-04-09,94.12,108.0,14.7471,6,ema21,23.12,30.02,2025
NVDA,2026-03-27,2026-03-31,167.85,174.38,3.8904,5,ema21,31.05,27.44,2026
PLTR,2021-05-13,2021-05-17,18.2,20.1799,10.8786,4,ema21,31.88,27.59,2021
PLTR,2021-12-02,2021-12-09,19.25,19.375,0.6494,10,hard_max,25.6,31.12,2021
PLTR,2022-01-21,2022-01-28,13.53,12.7022,-6.1183,10,hard_max,25.6,25.59,2022
PLTR,2022-02-18,2022-02-28,10.845,11.695,7.8377,10,hard_max,28.93,28.11,2022
PLTR,2022-04-27,2022-05-04,10.74,10.45,-2.7002,10,hard_max,26.18,33.52,2022
PLTR,2022-05-06,2022-05-13,9.72,8.2472,-15.1523,10,hard_max,30.04,31.2,2022
PLTR,2022-09-07,2022-09-09,7.22,7.805,8.1025,4,ema21,25.63,26.91,2022
PLTR,2022-11-09,2022-11-11,6.98,8.275,18.553,3,ema21,31.53,25.54,2022
PLTR,2025-11-21,2025-11-26,153.91,167.88,9.0767,6,ema21,27.94,26.42,2025
SMCI,2022-06-14,2022-06-22,4.634,4.337,-6.4091,10,hard_max,30.94,34.02,2022
SMCI,2022-06-23,2022-06-30,4.2555,4.055,-4.7115,10,hard_max,30.58,28.95,2022
SMCI,2022-09-21,2022-09-28,5.617,5.467,-2.6705,10,hard_max,31.79,27.16,2022
SMCI,2022-10-12,2022-10-17,5.242,5.612,7.0584,6,ema21,33.8,33.63,2022
SMCI,2025-11-21,2025-12-01,31.84,33.41,4.9309,10,hard_max,25.62,26.42,2025
SMCI,2026-03-27,2026-04-06,21.56,22.4,3.8961,10,hard_max,30.07,27.44,2026
TSLA,2021-05-13,2021-05-20,188.5533,193.1033,2.4131,10,hard_max,18.32,27.59,2021
TSLA,2022-01-21,2022-01-28,314.3233,282.1033,-10.2506,10,hard_max,34.53,25.59,2022
TSLA,2022-05-10,2022-05-17,265.7507,252.2133,-5.094,10,hard_max,32.71,34.75,2022
TSLA,2022-09-01,2022-09-07,269.95,283.73,5.1046,7,ema21,31.72,25.87,2022
TSLA,2022-09-23,2022-09-30,275.0606,270.535,-1.6453,10,hard_max,32.84,27.35,2022
TSLA,2022-10-04,2022-10-11,244.52,221.66,-9.3489,10,hard_max,26.2,30.1,2022
TSLA,2022-10-14,2022-10-21,205.07,214.5,4.5984,10,hard_max,20.93,31.94,2022
TSLA,2022-11-09,2022-11-16,180.245,188.37,4.5078,10,hard_max,20.39,25.54,2022
TSLA,2022-12-13,2022-12-20,162.15,141.77,-12.5686,10,hard_max,30.94,25.0,2022
TSLA,2024-08-07,2024-08-13,191.69,207.52,8.2581,7,ema21,29.87,27.71,2024
TSLA,2025-03-11,2025-03-18,223.83,226.95,1.3939,10,hard_max,19.17,27.86,2025
TSLA,2025-11-21,2025-11-24,394.68,418.61,6.0631,2,ema21,34.78,26.42,2025
TSLA,2026-03-27,2026-04-01,361.79,381.08,5.3318,6,ema21,31.63,27.44,2026
TSM,2021-05-13,2021-05-19,108.6161,112.38,3.4653,9,ema21,28.17,27.59,2021
TSM,2022-01-27,2022-02-02,116.37,124.15,6.6856,8,ema21,34.45,31.96,2022
TSM,2022-03-04,2022-03-11,105.04,103.25,-1.7041,10,hard_max,30.56,30.48,2022
TSM,2022-04-27,2022-05-04,91.2,93.25,2.2478,10,hard_max,25.25,33.52,2022
TSM,2022-05-11,2022-05-13,87.83,90.8501,3.4386,3,ema21,33.96,32.99,2022
TSM,2022-06-10,2022-06-17,88.72,85.0,-4.193,10,hard_max,33.48,26.09,2022
TSM,2022-08-30,2022-09-07,82.155,79.49,-3.2439,10,hard_max,31.35,26.21,2022
TSM,2022-09-22,2022-09-29,75.65,69.31,-8.3807,10,hard_max,28.79,27.99,2022
TSM,2022-10-14,2022-10-21,63.88,63.75,-0.2035,10,hard_max,33.34,31.94,2022
TSM,2025-04-04,2025-04-09,145.8,158.67,8.8272,7,ema21,22.72,30.02,2025
V,2022-01-21,2022-01-28,205.99,223.2,8.3548,9,ema21,31.88,25.59,2022
V,2022-03-04,2022-03-11,200.14,196.78,-1.6788,10,hard_max,28.3,30.48,2022
V,2022-05-10,2022-05-17,192.64,201.97,4.8432,10,ema21,31.92,34.75,2022
V,2022-06-10,2022-06-17,199.51,190.01,-4.7617,10,hard_max,33.56,26.09,2022
V,2022-09-01,2022-09-09,198.515,205.41,3.4733,10,ema21,27.15,25.87,2022
V,2022-09-15,2022-09-22,195.3,185.7,-4.9155,10,hard_max,32.16,26.16,2022
V,2022-09-23,2022-09-30,183.32,180.17,-1.7183,10,hard_max,20.92,27.35,2022
V,2025-04-04,2025-04-09,313.04,332.25,6.1366,6,ema21,24.19,30.02,2025
V,2026-03-19,2026-03-26,297.82,304.35,2.1926,10,hard_max,28.16,25.09,2026
