ticker,date,bar_slot,direction,open,high,low,close,ema9,ema21,ema_spread_pct,rsi,adx,adx_slope,atr,atr_pct,vix_prior_close,cross_bar_body_pct,is_anomaly_bar,bar_idx
AMD,2026-01-07,2,DOWN,210.67,211.17,208.35,210.11,214.9095,215.2616,-0.1635,41.59,23.47,0.2929,7.156,3.4058,14.75,0.2658,False,1067
AMD,2026-01-14,1,UP,218.58,223.91,215.11,222.22,214.8197,213.882,0.4384,62.66,24.34,-0.6903,7.1272,3.2073,15.98,1.6653,False,1076
AMD,2026-02-04,1,DOWN,220.7,242.11,206.0,208.47,239.6487,241.6787,-0.8399,31.5,19.29,0.8518,12.4711,5.9822,18.0,5.5415,False,1104
AMD,2026-03-11,1,UP,203.61,209.21,202.3,207.04,200.925,200.7549,0.0847,55.14,20.08,0.0131,8.0851,3.9051,24.93,1.6846,False,1152
AMD,2026-03-12,2,DOWN,198.38,200.0,196.67,198.91,200.6569,200.7219,-0.0324,47.33,22.52,1.1044,9.0981,4.574,24.23,0.2672,False,1155
AMD,2026-04-01,1,UP,205.48,210.97,205.48,210.84,200.9041,200.1645,0.3695,61.21,28.53,1.1091,7.1735,3.4023,27.29,2.6085,False,1164
AMZN,2021-07-30,2,DOWN,167.4165,168.2358,166.3015,167.847,176.1293,176.5706,-0.25,35.63,35.07,0.092,3.1326,1.8663,,0.2571,False,25
AMZN,2021-10-27,2,UP,169.403,170.922,168.752,170.7345,168.5617,168.3167,0.1456,54.77,18.29,-0.7294,2.6347,1.5431,,0.786,False,63
AMZN,2021-12-23,2,DOWN,170.8,171.975,170.4621,171.354,173.3848,173.6341,-0.1435,46.49,17.78,-0.5431,3.2822,1.9154,,0.3244,False,83
AMZN,2022-03-22,1,UP,161.6,165.0,161.179,164.8848,152.8856,151.8836,0.6597,64.43,22.76,-0.1096,4.7922,2.9064,,2.0327,False,116
AMZN,2022-04-22,1,DOWN,148.1525,149.646,147.3735,147.5195,158.1322,159.5519,-0.8898,33.05,20.87,0.8274,3.9013,2.6446,,0.4273,False,134
AMZN,2022-07-25,1,UP,123.3,123.71,121.481,122.03,115.6633,115.0861,0.5015,56.46,32.36,-1.2959,4.8547,3.9783,,1.03,False,176
AMZN,2022-09-21,2,DOWN,122.52,122.79,121.85,122.326,127.1998,127.8184,-0.4839,39.96,21.15,-0.4227,3.4387,2.8111,,0.1583,False,203
AMZN,2023-01-24,1,UP,97.06,98.09,96.0,96.72,90.3707,90.3142,0.0625,60.18,38.32,-0.864,2.9646,3.0652,,0.3503,False,258
AMZN,2023-02-24,2,DOWN,92.88,93.37,92.4,92.735,95.1203,95.432,-0.3266,43.81,22.26,-0.4855,2.6891,2.8998,,0.1561,False,277
AMZN,2023-03-22,1,UP,100.06,100.84,99.34,100.39,95.5492,95.4203,0.1351,60.37,19.61,0.276,2.6725,2.6621,,0.3298,False,282
AMZN,2023-09-22,2,DOWN,130.615,132.03,130.61,131.03,132.6795,132.7088,-0.0221,46.36,31.77,-1.6721,2.2621,1.7264,,0.3177,False,371
AMZN,2023-10-30,2,UP,130.77,132.38,130.05,131.4699,127.3943,127.3434,0.04,57.51,24.82,-0.735,3.2841,2.498,,0.5352,False,393
