slippage_bps,ticker,trigger_time,original_entry,slipped_entry,exit_price,return_pct,exit_reason,hold_bars
10,BA,2025-04-04 09:30:00,137.59,137.7276,160.68,16.6651,ema21_touch,7
10,BA,2025-11-21 09:30:00,179.68,179.8597,187.42,4.2035,ema21_touch,6
10,C,2025-04-04 09:30:00,56.63,56.6866,59.42,4.8219,hard_max,10
10,COIN,2025-03-11 09:30:00,183.89,184.0739,182.24,-0.9963,hard_max,10
10,COIN,2025-04-08 13:30:00,151.55,151.7015,177.13,16.7622,ema21_touch,2
10,COIN,2025-11-21 09:30:00,239.1,239.3391,273.89,14.436,ema21_touch,8
10,COST,2025-03-11 09:30:00,918.01,918.928,894.78,-2.6278,hard_max,10
10,GOOGL,2025-04-04 13:30:00,145.11,145.2551,158.23,8.9325,ema21_touch,6
10,GS,2025-04-04 09:30:00,462.91,463.3729,506.43,9.2921,ema21_touch,7
10,GS,2025-10-17 09:30:00,741.81,742.5518,772.65,4.0533,ema21_touch,10
10,GS,2026-03-13 09:30:00,786.1,786.8861,805.36,2.3477,data_end,7
10,JPM,2025-04-04 09:30:00,208.98,209.189,231.02,10.436,ema21_touch,7
10,JPM,2025-11-21 09:30:00,295.77,296.0658,305.91,3.325,ema21_touch,6
10,MARA,2025-04-08 13:30:00,10.52,10.5305,12.29,16.7084,ema21_touch,2
10,MARA,2025-11-21 09:30:00,10.02,10.03,11.44,14.0576,hard_max,10
10,META,2025-04-08 13:30:00,509.65,510.1596,583.4,14.3564,ema21_touch,2
10,META,2026-03-13 09:30:00,615.16,615.7752,615.72,-0.009,data_end,7
10,MSFT,2025-03-11 09:30:00,374.33,374.7043,385.58,2.9025,ema21_touch,7
10,MSFT,2025-04-08 13:30:00,352.86,353.2129,376.17,6.4995,ema21_touch,1
10,MSFT,2025-11-21 09:30:00,471.74,472.2117,490.98,3.9745,ema21_touch,8
10,MU,2025-04-04 09:30:00,65.04,65.105,67.87,4.2469,hard_max,10
10,NVDA,2025-04-04 09:30:00,94.09,94.1841,106.45,13.0233,ema21_touch,6
10,PLTR,2025-11-21 09:30:00,153.92,154.0739,167.88,8.9607,ema21_touch,6
10,SNOW,2025-04-04 09:30:00,129.56,129.6896,151.42,16.7557,ema21_touch,7
10,SNOW,2025-11-21 09:30:00,231.81,232.0418,251.0,8.1702,ema21_touch,8
10,TSLA,2025-03-11 09:30:00,223.81,224.0338,227.0,1.324,hard_max,10
10,TSLA,2025-11-21 09:30:00,394.64,395.0346,418.6,5.9654,ema21_touch,2
10,TSM,2025-04-04 09:30:00,144.53,144.6745,157.2,8.6577,ema21_touch,7
10,TXN,2025-04-04 09:30:00,149.09,149.2391,164.13,9.9779,ema21_touch,7
10,TXN,2026-03-13 09:30:00,191.39,191.5814,190.79,-0.4131,data_end,7
10,V,2025-04-04 13:30:00,310.28,310.5903,329.78,6.1785,ema21_touch,6
30,AAPL,2025-04-04 09:30:00,190.17,190.7405,195.99,2.7522,hard_max,10
30,AMD,2025-03-11 09:30:00,96.13,96.4184,100.98,4.7311,ema21_touch,2
30,AMD,2025-04-04 09:30:00,86.33,86.589,96.72,11.7001,ema21_touch,7
30,AMD,2025-11-21 09:30:00,201.52,202.1246,219.57,8.631,hard_max,10
30,AMZN,2025-04-21 09:30:00,165.64,166.1369,181.96,9.5241,ema21_touch,4
30,AVGO,2025-04-04 09:30:00,141.6,142.0248,170.32,19.9227,ema21_touch,6
