streak_len,streak_bin,date,next_day_ret,next_day_range,max_bounce_3d,rsi,vix,vix_bucket,ticker,split
4,4,2025-04-08,0.16878917848894748,0.22316067304519954,0.16878917848894742,29.663185478602216,46.98,>=25,COIN,A
2,2,2025-04-16,0.015786419036564192,0.03598374927452112,0.1022634939059778,43.3348403915116,30.12,>=25,COIN,B
2,2,2025-05-01,0.01823240101346335,0.03298723235133383,0.018232401013463243,56.45840112780378,24.7,20-25,COIN,A
2,2,2025-05-06,-0.0014221138706890235,0.033876783991060935,0.048808979633297854,52.50599110706969,23.64,20-25,COIN,A
3,3,2025-05-07,0.05030262957123233,0.038960378414119305,0.05299832155027713,52.295443037748115,24.76,20-25,COIN,B
2,2,2025-05-20,-0.00941302517792908,0.04832784877936786,0.0405984541210684,67.80452591224548,18.14,<20,COIN,A
3,3,2025-05-21,0.05048671199011112,0.05214771322620519,0.050486711990111226,66.43898447818022,18.09,<20,COIN,A
2,2,2025-05-29,-0.009722780233025419,0.02342306147047012,0.03981518682201686,56.876107889501434,19.31,<20,COIN,A
3,3,2025-05-30,0.00113599480688098,0.03631126257708543,0.05002434274586179,55.67146471891584,19.18,<20,COIN,A
2,2,2025-06-05,0.02833394750849605,0.026163861933423474,0.05068992343282981,52.6773492402157,17.61,<20,COIN,A
2,2,2025-06-11,-0.038835725677831,0.0334928229665072,0.04366028708133966,54.573734760071616,16.95,<20,COIN,A
3,3,2025-06-12,0.0069277358334023376,0.03281340745042727,0.08582925412760307,49.28093079576853,17.26,<20,COIN,A
2,2,2025-06-30,-0.0436196616552077,0.055344763643625304,0.015319658802384974,70.14011597951966,16.32,<20,COIN,A
3,3,2025-07-01,0.057361889989261394,0.05512468679155237,0.06520701586922806,63.92468570564544,16.73,<20,COIN,A
2,2,2025-07-22,-0.016542208595024976,0.033628406112457404,-0.01654220859502497,68.79972049816243,16.65,<20,COIN,A
3,3,2025-07-23,-0.002916551429361647,0.03346491338345109,-0.00291655142936169,65.40653460869818,16.5,<20,COIN,A
4,4,2025-07-24,-0.012557682124215153,0.02799001437325068,-0.01255768212421519,64.80966793640604,15.37,<20,COIN,B
5,5,2025-07-25,-0.031512551393038546,0.05140580709415459,-0.031512551393038574,62.18602329494897,15.39,<20,COIN,B
6,5,2025-07-28,-0.020593276203032307,0.050204350692155474,-0.004350692155570144,56.123159296305694,14.93,<20,COIN,A
7,5,2025-07-29,0.016018737884988088,0.03734115873357744,0.01658410510445839,52.62607139089321,15.03,<20,COIN,B
2,2,2025-08-15,0.010332335800913528,0.05411875885966296,0.010332335800913623,40.74132839472729,14.83,<20,COIN,A
2,2,2025-08-29,-0.0036759879217539426,0.04926480241564936,0.007023762636208436,40.807672420280795,14.43,<20,COIN,B
3,3,2025-09-02,-0.004117802081960775,0.02378442482540528,0.010739227829753561,40.348336047091564,15.36,<20,COIN,B
4,4,2025-09-03,0.01491846118223017,0.02566901524924743,0.014918461182230131,39.809749952825484,17.17,<20,COIN,B
2,2,2025-09-22,-0.035227820636451246,0.05418273866923825,-0.03034594985535196,54.84033057970404,15.45,<20,COIN,B
3,3,2025-09-23,0.005060128064969582,0.020490395127284095,0.00506012806496956,48.63822646181131,16.1,<20,COIN,B
2,2,2025-10-10,-0.00042013276195274063,0.06458840993754028,-0.0004201327619527134,54.15517653114401,16.43,<20,COIN,B
3,3,2025-10-13,-0.0433479040573862,0.052482627213629285,-0.04334790405738615,54.09395181576992,21.66,20-25,COIN,A
4,4,2025-10-14,-0.015230953984944895,0.043144606191968485,-0.01523095398494492,48.05935233841944,19.03,<20,COIN,B
5,5,2025-10-15,-0.01799470568989603,0.041610897950685614,0.022545432913952713,46.19390855999156,20.81,20-25,COIN,B
6,5,2025-10-16,0.017930700266537203,0.05612430336806405,0.04128301429609885,44.05150295681868,20.64,20-25,COIN,A
2,2,2025-10-22,0.007084009486955312,0.03086381225814501,0.1281051054799651,41.19300954658234,17.87,<20,COIN,B
2,2,2025-10-29,-0.05574363093871937,0.04593183383061753,-0.014344732614184072,51.72871976659057,16.42,<20,COIN,A
3,3,2025-10-30,0.04384285844499147,0.08194330507702115,0.04384285844499136,44.84574179117914,16.92,<20,COIN,A
2,2,2025-11-04,0.03845277985620865,0.04326751032889818,0.03845277985620871,39.416147410385115,17.17,<20,COIN,B
2,2,2025-11-18,-0.016432911682653817,0.06038139641533222,-0.01643291168265377,32.34951659888863,22.38,20-25,COIN,B
3,3,2025-11-19,-0.07467847845514242,0.10735516960018648,-0.005711621401095694,31.437791828414007,24.69,20-25,COIN,B
4,4,2025-11-20,0.009279865630904993,0.06281755196304853,0.07453285744278816,27.682292998251015,23.66,20-25,COIN,A
2,2,2025-12-05,0.016122456543493646,0.026351877246951608,0.02801971757903711,44.26562883426993,15.78,<20,COIN,B
2,2,2025-12-11,-0.005536152188452159,0.055881697257932544,-0.005536152188452141,44.192605578062064,15.77,<20,COIN,A
3,3,2025-12-12,-0.06433775453016988,0.08137492994582468,-0.056155426863440966,43.5781025938795,14.85,<20,COIN,B
