ticker,timestamp,pattern,direction,entry_price,level_price,blocked_by,blocked_reason,atr_ratio
AMD,2025-07-21 17:05:00,MODEL4,long,156.97,156.8414,squeeze,Squeeze detected (BB width=0.0015) — overrides ATR pass,nan
AMD,2025-07-21 17:10:00,MODEL4,short,156.69,156.8414,squeeze,Squeeze detected (BB width=0.0017) — overrides ATR pass,nan
AMD,2025-07-21 17:15:00,MODEL4,short,156.53,156.8414,squeeze,Squeeze detected (BB width=0.0024) — overrides ATR pass,nan
AMD,2025-07-21 17:20:00,MODEL4,short,156.49,156.8414,squeeze,Squeeze detected (BB width=0.0030) — overrides ATR pass,nan
AMD,2025-07-21 19:45:00,CLP,long,156.89,156.8414,squeeze,Squeeze detected (BB width=0.0020) — overrides ATR pass,nan
AMD,2025-07-21 19:50:00,LP1,long,157.09,156.8414,squeeze,Squeeze detected (BB width=0.0030) — overrides ATR pass,nan
AMD,2025-10-13 16:30:00,LP1,short,216.675,216.8265,time,Before open delay (16:30 IST < 16:35 IST),0.0
AMD,2026-01-26 16:30:00,LP2,short,250.6507,251.26,time,Before open delay (16:30 IST < 16:35 IST),0.0
AMD,2026-01-26 19:55:00,LP2,short,251.2,251.26,squeeze,Squeeze detected (BB width=0.0029) — overrides ATR pass,nan
AMD,2026-01-29 16:30:00,LP2,short,250.71,251.26,time,Before open delay (16:30 IST < 16:35 IST),0.0
AMZN,2025-06-10 16:45:00,MODEL4,short,217.31,221.5176,squeeze,Squeeze detected (BB width=0.0034) — overrides ATR pass,nan
AMZN,2025-06-10 17:00:00,MODEL4,short,217.295,221.5176,squeeze,Squeeze detected (BB width=0.0033) — overrides ATR pass,nan
AMZN,2025-06-10 17:05:00,LP1,short,217.27,221.5176,squeeze,Squeeze detected (BB width=0.0031) — overrides ATR pass,nan
AMZN,2025-06-10 17:10:00,MODEL4,long,217.33,125.1767,squeeze,Squeeze detected (BB width=0.0027) — overrides ATR pass,nan
AMZN,2025-07-01 22:20:00,LP2,long,221.77,221.5176,squeeze,Squeeze detected (BB width=0.0046) — overrides ATR pass,nan
AMZN,2025-07-01 22:50:00,LP1,short,221.14,221.5176,squeeze,Squeeze detected (BB width=0.0049) — overrides ATR pass,nan
AMZN,2025-07-03 21:00:00,MODEL4,short,223.34,226.09,squeeze,Squeeze detected (BB width=0.0024) — overrides ATR pass,nan
AMZN,2025-07-14 17:20:00,MODEL4,short,225.56,251.7421,squeeze,Squeeze detected (BB width=0.0038) — overrides ATR pass,nan
AMZN,2025-07-14 17:25:00,MODEL4,short,225.535,226.09,squeeze,Squeeze detected (BB width=0.0035) — overrides ATR pass,nan
AMZN,2025-07-14 20:15:00,CLP,long,226.14,226.09,squeeze,Squeeze detected (BB width=0.0049) — overrides ATR pass,nan
AMZN,2025-07-15 16:30:00,LP1,short,226.08,226.09,time,Before open delay (16:30 IST < 16:35 IST),0.0
AMZN,2025-07-18 16:30:00,LP1,short,226.0,226.09,time,Before open delay (16:30 IST < 16:35 IST),0.0
AMZN,2025-07-18 22:50:00,MODEL4,long,226.3,226.09,squeeze,Squeeze detected (BB width=0.0020) — overrides ATR pass,nan
AMZN,2025-07-18 22:55:00,LP1,long,226.12,226.09,squeeze,Squeeze detected (BB width=0.0022) — overrides ATR pass,nan
AMZN,2025-07-25 16:55:00,MODEL4,long,231.6899,226.09,squeeze,Squeeze detected (BB width=0.0041) — overrides ATR pass,nan
AMZN,2025-07-25 17:15:00,MODEL4,long,231.59,226.09,squeeze,Squeeze detected (BB width=0.0047) — overrides ATR pass,nan
AMZN,2025-07-25 17:20:00,LP1,long,231.6,226.09,squeeze,Squeeze detected (BB width=0.0048) — overrides ATR pass,nan
AMZN,2025-07-25 17:25:00,LP1,long,231.5999,226.09,squeeze,Squeeze detected (BB width=0.0049) — overrides ATR pass,nan
AMZN,2025-10-30 16:30:00,MODEL4,long,245.25,237.3327,time,Before open delay (16:30 IST < 16:35 IST),0.0
AMZN,2025-11-05 18:30:00,MODEL4,long,250.0,237.3327,squeeze,Squeeze detected (BB width=0.0022) — overrides ATR pass,nan
AMZN,2025-11-11 17:30:00,MODEL4,long,248.99,237.3327,squeeze,Squeeze detected (BB width=0.0037) — overrides ATR pass,nan
AMZN,2025-11-14 18:15:00,MODEL4,short,235.4493,237.3327,squeeze,Squeeze detected (BB width=0.0031) — overrides ATR pass,nan
AMZN,2025-11-28 21:25:00,MODEL4,short,233.08,237.3327,squeeze,Squeeze detected (BB width=0.0025) — overrides ATR pass,nan
AMZN,2025-11-28 21:30:00,LP1,short,233.12,237.3327,squeeze,Squeeze detected (BB width=0.0019) — overrides ATR pass,nan
AMZN,2025-11-28 22:10:00,MODEL4,short,233.15,237.3327,squeeze,Squeeze detected (BB width=0.0017) — overrides ATR pass,nan
AMZN,2025-11-28 22:15:00,LP1,short,233.2,237.3327,squeeze,Squeeze detected (BB width=0.0018) — overrides ATR pass,nan
AMZN,2025-12-26 17:40:00,MODEL4,short,232.46,237.3327,squeeze,Squeeze detected (BB width=0.0018) — overrides ATR pass,nan
AMZN,2025-12-26 18:25:00,MODEL4,short,232.4512,237.3327,squeeze,Squeeze detected (BB width=0.0003) — overrides ATR pass,nan
AMZN,2025-12-29 17:35:00,LP1,short,232.1,237.3327,squeeze,Squeeze detected (BB width=0.0049) — overrides ATR pass,nan
AMZN,2025-12-30 17:30:00,LP1,short,232.5196,237.3327,squeeze,Squeeze detected (BB width=0.0027) — overrides ATR pass,nan
AMZN,2026-01-06 18:10:00,MODEL4,long,241.09,237.3327,squeeze,Squeeze detected (BB width=0.0016) — overrides ATR pass,nan
AMZN,2026-01-07 16:30:00,MODEL4,long,241.49,237.3327,time,Before open delay (16:30 IST < 16:35 IST),0.0
AMZN,2026-01-13 18:30:00,MODEL4,long,242.615,237.3327,squeeze,Squeeze detected (BB width=0.0013) — overrides ATR pass,nan
AVGO,2025-10-20 17:30:00,MODEL4,long,348.3119,220.364,squeeze,Squeeze detected (BB width=0.0032) — overrides ATR pass,nan
AVGO,2025-11-26 16:30:00,LP1,short,395.4539,396.1103,time,Before open delay (16:30 IST < 16:35 IST),0.0
AVGO,2026-01-20 18:20:00,LP1,long,334.11,324.3925,squeeze,Squeeze detected (BB width=0.0034) — overrides ATR pass,nan
AVGO,2026-01-20 18:25:00,LP1,long,334.1,324.3925,squeeze,Squeeze detected (BB width=0.0034) — overrides ATR pass,nan
AVGO,2026-01-28 17:00:00,LP1,long,334.19,324.3925,squeeze,Squeeze detected (BB width=0.0042) — overrides ATR pass,nan
BA,2025-04-21 18:25:00,MODEL4,long,158.5545,146.3,squeeze,Squeeze detected (BB width=0.0045) — overrides ATR pass,nan
BA,2025-07-10 16:30:00,CLP,short,225.7,225.8745,time,Before open delay (16:30 IST < 16:35 IST),0.0
BA,2025-07-10 16:35:00,LP2,long,226.16,225.8745,squeeze,Squeeze detected (BB width=0.0046) — overrides ATR pass,nan
BA,2025-07-16 17:15:00,MODEL4,long,229.803,229.2179,squeeze,Squeeze detected (BB width=0.0021) — overrides ATR pass,nan
BA,2025-07-16 17:20:00,MODEL4,short,229.2,229.2179,squeeze,Squeeze detected (BB width=0.0026) — overrides ATR pass,nan
BA,2025-07-16 17:25:00,LP1,long,229.4,229.2179,squeeze,Squeeze detected (BB width=0.0027) — overrides ATR pass,nan
BA,2025-07-16 17:30:00,LP1,long,229.4,229.2179,squeeze,Squeeze detected (BB width=0.0027) — overrides ATR pass,nan
BA,2025-07-16 17:35:00,LP1,long,229.7472,229.2179,squeeze,Squeeze detected (BB width=0.0028) — overrides ATR pass,nan
BA,2025-07-16 18:05:00,LP2,short,229.15,229.2179,squeeze,Squeeze detected (BB width=0.0036) — overrides ATR pass,nan
BA,2025-07-16 18:10:00,LP1,short,229.16,229.2179,squeeze,Squeeze detected (BB width=0.0037) — overrides ATR pass,nan
BA,2025-07-16 18:15:00,LP2,long,229.4,229.2179,squeeze,Squeeze detected (BB width=0.0037) — overrides ATR pass,nan
BA,2025-07-16 18:40:00,LP1,long,229.5,229.2179,squeeze,Squeeze detected (BB width=0.0037) — overrides ATR pass,nan
BA,2025-07-16 18:45:00,LP1,long,229.25,229.2179,squeeze,Squeeze detected (BB width=0.0036) — overrides ATR pass,nan
BA,2025-07-16 18:50:00,LP1,long,229.245,229.2179,squeeze,Squeeze detected (BB width=0.0035) — overrides ATR pass,nan
BA,2025-07-16 19:00:00,MODEL4,long,229.4,229.2179,squeeze,Squeeze detected (BB width=0.0029) — overrides ATR pass,nan
BA,2025-07-16 19:10:00,LP1,long,229.26,229.2179,squeeze,Squeeze detected (BB width=0.0029) — overrides ATR pass,nan
BA,2025-07-16 19:15:00,LP1,short,229.21,229.2179,squeeze,Squeeze detected (BB width=0.0023) — overrides ATR pass,nan
BA,2025-07-16 19:20:00,LP1,short,229.18,229.2179,squeeze,Squeeze detected (BB width=0.0023) — overrides ATR pass,nan
BA,2025-07-16 19:25:00,LP2,long,229.4,229.2179,squeeze,Squeeze detected (BB width=0.0023) — overrides ATR pass,nan
BA,2025-07-16 19:35:00,LP1,short,229.18,229.2179,squeeze,Squeeze detected (BB width=0.0024) — overrides ATR pass,nan
BA,2025-07-16 19:40:00,LP2,long,229.41,229.2179,squeeze,Squeeze detected (BB width=0.0025) — overrides ATR pass,nan
BA,2025-07-16 19:45:00,LP1,short,229.18,229.2179,squeeze,Squeeze detected (BB width=0.0024) — overrides ATR pass,nan
BA,2025-07-16 19:50:00,LP2,long,229.35,229.2179,squeeze,Squeeze detected (BB width=0.0024) — overrides ATR pass,nan
BA,2025-07-21 16:30:00,LP2,long,229.66,229.2179,time,Before open delay (16:30 IST < 16:35 IST),0.0
BA,2025-07-30 16:30:00,LP2,short,225.58,225.8745,time,Before open delay (16:30 IST < 16:35 IST),0.0
BA,2025-08-04 16:50:00,MODEL4,short,222.25,225.8745,squeeze,Squeeze detected (BB width=0.0046) — overrides ATR pass,nan
BA,2025-08-11 16:30:00,LP1,long,226.15,225.8745,time,Before open delay (16:30 IST < 16:35 IST),0.0
BA,2025-08-11 18:50:00,LP2,short,225.8512,225.8745,squeeze,Squeeze detected (BB width=0.0013) — overrides ATR pass,nan
BA,2025-08-11 18:55:00,LP1,short,225.8585,225.8745,squeeze,Squeeze detected (BB width=0.0014) — overrides ATR pass,nan
BA,2025-08-11 19:00:00,LP2,long,225.95,225.8745,squeeze,Squeeze detected (BB width=0.0014) — overrides ATR pass,nan
BA,2025-08-11 19:10:00,LP2,short,225.85,225.8745,squeeze,Squeeze detected (BB width=0.0015) — overrides ATR pass,nan
BA,2025-08-11 19:15:00,LP2,long,225.95,225.8745,squeeze,Squeeze detected (BB width=0.0015) — overrides ATR pass,nan
BA,2025-08-11 19:20:00,LP2,short,225.86,225.8745,squeeze,Squeeze detected (BB width=0.0015) — overrides ATR pass,nan
BA,2025-08-11 19:25:00,LP2,long,225.95,225.8745,squeeze,Squeeze detected (BB width=0.0015) — overrides ATR pass,nan
BA,2025-08-27 16:50:00,MODEL4,long,235.18,186.1665,squeeze,Squeeze detected (BB width=0.0035) — overrides ATR pass,nan
