market,touch,signal,prev_run,lag,ret4,mae,grp,quarter
^DJI,2020-09-25,2020-09-25,16,0,0.04274714965814863,0.006039933104617923,EVENT,2020Q3
^DJI,2020-10-30,2020-11-06,4,1,0.06690084343217473,0.02043294451825628,B1,2020Q4
^DJI,2021-06-25,2021-06-25,32,0,0.01822947833725075,-0.02009877864741294,EVENT,2021Q2
^DJI,2021-07-23,2021-07-23,3,0,0.0016692742461721366,-0.010589970294427542,B1,2021Q3
^DJI,2021-09-10,2021-09-24,6,2,0.025260633693028334,-0.02909537724869249,B1,2021Q3
^DJI,2021-11-26,2021-12-10,6,2,0.00724672541554483,-0.036292811057695884,B1,2021Q4
^DJI,2021-12-24,2021-12-24,1,0,-0.046875140913470226,-0.047871517990799695,B1,2021Q4
^DJI,2022-01-21,2022-07-29,3,27,-0.017102338591160504,-0.017260038916063536,B1,2022Q3
^DJI,2022-08-26,2022-09-09,3,2,-0.08879533286890107,-0.10686402769681536,B1,2022Q3
^DJI,2023-02-24,2023-04-07,17,6,0.005646952708010522,-0.01635909612360087,EVENT,2023Q2
^DJI,2023-04-28,2023-04-28,2,0,-0.029468461286343728,-0.04433082613397055,B1,2023Q2
^DJI,2023-05-12,2023-05-19,1,1,0.026101710404212053,-0.025131710461473666,B1,2023Q2
^DJI,2023-08-25,2023-08-25,12,0,-0.01115264001048133,-0.011635989694302351,B1,2023Q3
^DJI,2023-09-22,2023-11-10,3,7,0.05731014528157896,-0.0022545500619041148,B1,2023Q4
^DJI,2024-04-12,2024-05-03,21,3,0.00027512444735244834,-0.0174455563664746,EVENT,2024Q2
^DJI,2024-05-31,2024-06-21,3,3,0.029047090521671093,-0.006164439873388661,B1,2024Q2
^DJI,2024-08-09,2024-08-09,6,0,0.02146642838705337,-0.006223686800107209,B1,2024Q3
^DJI,2024-12-20,2024-12-20,18,0,0.01511583683828377,-0.02323447742417395,EVENT,2024Q4
^DJI,2025-01-03,2025-01-17,1,2,0.024334395292360922,0.0009386606381598384,B1,2025Q1
^DJI,2025-02-21,2025-02-28,4,1,-0.05148186273291222,-0.0725153883363614,B1,2025Q1
^DJI,2025-05-23,2025-05-30,1,1,0.03665002701194653,-0.009852106127839821,B1,2025Q2
^DJI,2025-11-21,2025-11-21,24,0,0.040857686468040555,-0.002971071875798481,EVENT,2025Q4
^DJI,2026-03-06,2026-04-17,14,6,0.0015924424787625568,-0.014942321161473426,B1,2026Q2
^FCHI,1990-12-14,1990-12-14,1,0,-0.08562691131498468,-0.09785932721712542,B1,1990Q4
^FCHI,1991-06-21,1991-06-21,19,0,-0.02385695570042201,-0.06061109347933291,EVENT,1991Q2
