ticker,earnings_date,day1_date,timing,prior_close,day1_open,day1_high,day1_low,day1_close,gap_pct,gap_size,shape,eps_surprise_pct,rec_10:00,rec_10:30,rec_12:00,rec_13:00,rec_13:30,rec_16:00,drift_1d,drift_2d,drift_3d,drift_5d,price_10:00,price_10:30,price_12:00,price_13:00,price_13:30,price_16:00
BIDU,2025-02-27,2025-02-27,BMO,89.16,89.68,90.2,87.21,88.26,0.5832211754149959,0.5200000000000102,EARLY_HOLD,-22.9787,0.0,2.0576923076922813,3.923076923076858,4.173076923076844,4.499999999999918,2.0192307692307514,-2.0394289598912434,-4.452753229095861,-1.2349875368230268,5.812372535690001,87.54,88.28,89.25,89.38,89.55,88.26
BIDU,2025-05-22,2025-05-22,BMO,85.48,84.56,84.96,83.48,84.07,-1.0762751520823604,0.9200000000000017,EARLY_HOLD,8.2353,1.0108695652173814,1.445652173913039,0.9347826086956498,0.8804347826086965,0.9021739130434747,0.641304347826074,-0.30926608778397874,-0.17842274295229152,-1.0348519091233381,-2.628761746163904,84.41,84.81,84.34,84.29,84.31,84.07
BIDU,2025-08-21,2025-08-21,BMO,86.76,86.66,88.22,86.1,87.62,-0.11526048870448194,0.10000000000000853,EARLY_HOLD,2.4658,8.59999999999926,14.799999999998779,17.19999999999852,19.09999999999848,16.799999999998636,15.199999999998806,2.7162748230997438,4.907555352659207,5.5466788404473855,3.8005021684546882,86.96,87.58,87.82,88.01,87.78,87.62
BIDU,2025-11-20,2025-11-20,BMO,115.49,116.96,117.37,110.3,110.4,1.272837475106069,1.4699999999999989,NO_RECOVERY,-5.3571,0.020408163265306912,0.1020408163265249,0.1700680272108845,0.6462585034013629,0.7959183673469405,0.06802721088435959,0.4347826086956429,8.01630434782608,6.748188405797091,5.86050724637681,114.88,114.49,111.38,111.55,111.77,110.4
BIDU,2026-02-26,2026-02-26,BMO,132.69,129.2,129.4,122.97,125.16,-2.630190669982673,3.490000000000009,MIXED,2.4631,0.46991404011461213,0.1661891117478501,0.234957020057304,0.017191977077364504,0.08022922636103164,0.62750716332378,-0.5912432086928691,-1.254394375199739,-5.153403643336532,-5.7766059443911715,125.74,124.08,124.32,123.08,123.25,125.16
C,2025-04-15,2025-04-15,BMO,61.64,62.58,64.62,62.23,62.71,1.5249837767683285,0.9399999999999977,EARLY_HOLD,16.7347,1.4148936170212858,0.5531914893617068,1.372340425531925,1.978723404255331,1.7765957446808571,0.5106382978723459,-3.460373146228674,-1.706266943071281,-2.503587944506459,3.0298198054536734,63.56,62.75,63.52,64.09,63.9,62.71
C,2025-07-15,2025-07-15,BMO,85.95,87.1,90.2,86.59,89.06,1.3379872018615373,1.1499999999999915,EARLY_HOLD,25.5319,0.565217391304357,0.730434782608704,1.7913043478261022,1.6956521739130586,1.7478260869565267,2.147826086956537,-0.6737031214911392,2.694812485964509,3.0653492027846436,3.7053671682012097,87.28,87.43,88.65,88.54,88.6,89.06
C,2025-10-14,2025-10-14,BMO,95.04,94.32,100.11,93.99,98.71,-0.7575757575757713,0.7200000000000131,EARLY_HOLD,17.8571,0.44444444444444664,2.3194444444444047,5.986111111111006,7.1666666666665515,7.236111111110991,6.555555555555435,-0.050653429237156475,-3.566001418296015,-2.735285178806594,-1.5702563063519372,94.31,95.66,98.3,99.15,99.2,98.71
C,2026-01-14,2026-01-14,BMO,115.71,117.3,118.14,109.9,111.83,1.3741249675913954,1.5900000000000034,EARLY_HOLD,-22.8814,0.018867924528302563,0.38364779874213717,0.49685534591194364,0.3647798742138346,0.7484276729559718,1.2138364779874142,4.506840740409556,5.034427255655903,0.38451220602701136,2.8972547616918494,112.68,112.84,110.69,110.48,111.09,111.83
COIN,2025-02-13,2025-02-14,AMC,298.3,288.02,291.55,274.0,274.2,-3.4461951055984006,10.28000000000003,MIXED,12.6246,0.17509727626459204,0.21789883268482516,0.3307392996108973,0.4649805447470832,0.3968871595330768,0.019455252918286776,-3.4828592268417258,-5.638220277169942,-6.396790663749075,-17.191830780452218,278.3,278.74,277.42,278.8,278.1,274.2
COIN,2025-05-08,2025-05-09,AMC,206.5,204.52,214.13,198.77,199.37,-0.9588377723970894,1.9799999999999898,EARLY_HOLD,-1.8634,6.3989898989899405,0.8585858585858717,1.4444444444444589,0.25757575757576867,1.6414141414141499,0.3030303030303017,3.842102623263278,28.860911872398066,32.13121332196419,33.67106385113106,213.71,202.74,203.9,199.3,202.04,199.37
COIN,2025-08-07,2025-08-08,AMC,311.03,311.44,313.7,301.23,310.49,0.1318200816641562,0.410000000000025,EARLY_HOLD,7.2682,1.975609756097446,4.878048780487507,7.731707317072599,6.024390243901999,6.902439024389784,22.585365853657137,2.950175529002534,3.880962349834137,5.349608683049378,2.2416180875390443,308.5,307.5,304.4,303.7,304.06,310.49
COIN,2025-11-06,2025-11-07,AMC,295.31,290.2,310.93,283.65,309.22,-1.7303850191324417,5.110000000000014,EARLY_HOLD,-19.2737,1.6340508806262233,1.7123287671232832,1.675146771037178,3.297455968688841,3.970645792563594,5.00391389432485,2.7973611021279274,-1.7010542655714531,-1.6978203221007695,-8.113964167906355,292.0,292.4,292.21,300.5,303.94,309.22
COIN,2026-02-12,2026-02-13,AMC,140.92,153.7,167.65,146.16,164.47,9.068975305137668,12.780000000000001,EARLY_HOLD,2.027,0.6298904538341167,1.2926447574334905,1.5508607198748037,1.4687010954616595,1.423317683881064,1.4327073552425666,0.9545813826229667,-0.2675259925822325,0.8755396120873093,-2.565817474311424,154.21,162.68,165.98,164.93,164.35,164.47
COST,2025-03-06,2025-03-07,AMC,1021.4,989.73,996.96,937.65,958.45,-3.100646171920889,31.66999999999996,LATE_REVERSAL,17.0279,0.019261130407326,0.11777707609725364,0.14430059993684693,0.16040416798231916,0.21850331544048254,0.6567729712661855,-3.0267619594136352,-3.510876936720756,-3.801971933851537,-6.239240440294232,965.89,957.14,949.9,942.73,944.57,958.45
COST,2025-06-05,2025-06-06,AMC,1006.32,1016.38,1016.38,1004.41,1010.54,0.9996820096986988,10.059999999999945,EARLY_HOLD,19.3694,0.6033797216699883,0.8469184890656204,0.37574552683897683,0.13021868787277,0.2922465208747585,0.6093439363817126,-0.9074356284758605,-0.7332713202842014,-1.7426326518495077,-2.370019989312638,1011.37,1013.82,1009.08,1006.11,1007.35,1010.54
