spec,ticker,earnings_date,abnormal_gap_pct,entry,exit,direction,return_pct,hold_days,eps_surprise_pct,revenue_surprise_pct
C,MU,2025-12-17,12.8270016987699,251.54264645412772,294.24639892578125,1,16.976744529656187,5,,
C,MU,2026-03-18,-7.287068616012934,443.73360503223694,357.07000732421875,-1,19.53054641911156,5,,
C,NVDA,2025-02-26,2.445121932259026,117.98134023479652,112.65309143066406,1,-4.5161792479460106,5,,
C,NVDA,2025-05-28,4.611995968800425,138.6873257641086,141.6865997314453,1,2.162615762335868,5,,
C,NVDA,2025-11-19,3.5043708580384787,181.22010834266524,179.90025329589844,1,-0.7283160013739305,5,,
C,PLTR,2024-11-04,15.412712780683787,53.43999862670898,60.70000076293945,1,13.585333687867971,5,,
C,PLTR,2025-02-03,22.75089208599798,101.77999877929688,117.38999938964844,1,15.33700215913817,5,,
C,PLTR,2025-05-05,-7.945696208929936,107.97000122070312,130.17999267578125,-1,-20.57052070387435,5,,
C,PLTR,2025-08-04,6.841888301880098,171.1750030517578,184.3699951171875,1,7.708480695303359,5,,
C,PLTR,2025-11-03,-6.235129328820312,189.0,184.1699981689453,-1,2.5555565243675598,5,,
C,TSLA,2024-10-23,14.179452736807123,256.010009765625,248.97999572753903,1,-2.745991863568883,5,,
C,TSLA,2025-01-29,5.214563678692125,401.5299987792969,361.6199951171875,1,-9.939482425582383,5,,
C,TSLA,2025-04-22,4.5977943132426295,250.5,280.5199890136719,1,11.984027550368014,5,,
C,V,2024-10-29,3.7932960111053204,288.8840136989301,302.4434509277344,1,4.693730558221773,5,,
