,AAPL,AMD,AMZN,AVGO,BA,BABA,BIDU,C,COIN,COST,GOOGL,GS,IBIT,JPM,MARA,META,MSFT,MU,NVDA,PLTR,SNOW,TSLA,TSM,TXN,V,SPY
2026-01-02,0.003308215401580439,0.011317254174397107,0.007753952783192464,0.005540166204986097,-0.0027839897768244803,0.040341880341880465,0.08264029369895853,-8.549931600543292e-05,0.02482599636476479,-0.004826444750517855,0.011159072741806497,-0.0019159042728067455,0.004162537165510294,-0.0019531855526274677,-0.02027748132337237,0.007105442951491847,0.0026480749736226272,-0.0007839127471027663,0.014158532661160406,-0.0010468319559228112,-0.003871083903492889,0.016815320625458652,0.028413211154327822,0.012158435698169878,-0.0074964639321074555,0.001950604247330734
2026-01-03,-0.00729071258472247,,-0.02579092159559837,,,0.025303976339138945,,,0.029026257732404748,,-0.004079180369339852,,,,,-0.020306634706707127,-0.023418962137625066,,-0.0006345848757272066,,,-0.03425571475445688,,,,
2026-01-05,-0.0021405373486861334,0.05356815263254444,0.004015178256265628,0.003038823095055543,0.04462242562929064,-0.004807692307692291,0.008927335640138256,0.009747755451047446,0.034639313939801575,-0.0017212905026633418,0.0022860771551040937,0.03134938664243525,0.03829451243584692,0.0031063618290259054,0.1285403050108933,-0.0009078878527682965,-0.00213395309528841,0.10584302623051456,0.014710551381098558,-0.04114500027577084,-0.01685494803434262,0.0072708328614463635,0.054647435897436036,0.01072124756335291,-0.018839960096907582,0.0066747661636197275
2026-01-06,-0.012944744433759925,-0.03003656625457085,0.024917600527356587,-0.02910697094965753,-0.0007886089813801123,-0.004186795491143314,0.02867137663762942,0.03886865949699381,0.03640500568828209,0.018652282312370483,0.004181582031868691,0.03864537444933913,0.011026615969581766,0.027932614889136564,0.020270270270270396,0.015694549263018498,-0.001270405894683413,-0.02526218383713752,-0.010638297872340385,0.00822548173712967,0.03318472215838586,0.007443220148414698,-0.0008509345084334319,0.008735606103579485,0.022978154775737725,0.005918020153257819
2026-01-07,-0.019596822541966485,-0.04312898303563406,0.03232998885172789,-0.0011081948089821658,0.006927697636690544,-0.038486416558861536,-0.01820364072814551,-0.004238669709814236,-0.01744550729183003,0.0150969291473666,-0.003375500804441711,0.011377493134271388,-0.01918014291086878,0.004006748207507238,-0.026490066225165698,-0.0019864737815790123,0.01246581441200778,0.0682889781968925,-0.009013282732447836,0.018598813327247887,0.037635126117709916,-0.028794000133925524,-0.015208200261581095,0.06579317325535627,0.013573761181314925,-0.0031945649031510648
2026-01-08,-0.015402254920695468,-0.010928192861498154,0.01204519023093531,-0.001051033516290878,0.005268887437404723,-0.015472586612849004,-0.023227383863080764,-0.015144073346430864,-0.015840082990863036,0.011503577263252796,0.03507217016966324,-0.02065379212010654,-0.02319785276073605,-0.02151408767665841,-0.031098153547132967,-0.018080984577983683,0.004418200473229161,0.010101010101010166,0.009414392851444076,0.04211941301669109,0.00836012861736335,-0.01588104157569359,-6.177224572989637e-05,-0.03160449533055454,-0.008881293250777467,-0.0002175205556924631
2026-01-09,0.0067929508578525866,-0.022240136570561453,0.009439382746450065,-0.01361935936404024,-0.008923156891622597,0.03293474547318076,-0.01606174384647474,0.003075388579502958,0.0038109138084811978,0.022522723222242025,0.004587155963302836,0.003093820922365431,0.007850834151128527,0.015516712664826793,0.05817452357071207,0.0026150870406189686,-0.008651601067378278,-0.022785923753665616,-0.019812414374538845,-0.044233043104374925,-0.04094387755102036,0.022326015880429706,-0.010409266409266427,0.023864007845701085,-0.003137720488466833,0.006599559062427485
2026-01-10,0.0,,0.006464465766791383,,,-0.0018522193556922417,,,-0.026655896607431284,,0.002739726027397138,,,,,0.007824798592462212,0.007297121106975446,,-0.005644554348994801,,,0.017932200292397615,,,,
2026-01-12,-0.0028916220071711907,-0.021533537028953886,-0.006584528378105525,0.00909629629629638,0.01979895104895113,0.04427066074623909,0.047134478128754376,-0.03795160755717608,-0.005062240663900375,0.004085056319309777,-0.009623557984213549,-0.009455608798198512,-0.00019474196689384105,-0.02953255224060891,-0.034123222748815296,-0.007488399871364848,-0.008726513569937366,0.0217867538937071,-0.008433800075687947,0.0021931057751785055,-0.04867668572948525,-0.01045757500953759,0.007615956052188011,-0.0025542784163473664,-0.02625832978874232,0.0016859032550899933
2026-01-13,0.0015853375609000686,0.06745972738537809,0.00113858165256997,0.037936400739936094,0.031371876741096205,0.0435362061306086,-0.007963287893103077,0.007751937984496138,0.024480774042872744,0.017890271554576787,0.025687398461208266,0.020363087862953266,0.016751071289442976,0.009770365299645256,0.06280667320902844,-0.007822625439733444,0.0008003032728192139,0.020558606713853456,0.012703778419933531,0.008304342946919396,0.026375879584323636,0.022700986506406506,0.033083452078557674,-0.0011203585147248063,-0.01988992108098664,-0.00202831002934567
