ticker,earnings_date,time_of_day,prior_date,reaction_date,prior_close,next_open,reaction_close,reaction_high,reaction_low,reaction_day_range,reaction_day_midpoint,raw_gap_pct,spy_gap_pct,abnormal_gap_pct,eps_surprise_pct,revenue_surprise_pct,revenue_confirms,first_day_holds,drift_1d_close,drift_1d_pct,drift_3d_close,drift_3d_pct,drift_5d_close,drift_5d_pct,drift_10d_close,drift_10d_pct
SNOW,2025-11-19,AMC,2025-11-19,2025-11-20,255.11,261.61,258.4,262.25,248.405,13.845,255.3275,2.5479,1.6117,0.9362,0.0,0.1051,False,True,247.0,-4.4118,241.6,-6.5015,250.5,-3.0573,233.86,-9.4969
SNOW,2026-02-25,AMC,2026-02-25,2026-02-26,162.64,166.0,174.55,182.1,165.0,17.1,173.55,2.0659,-0.1169,2.1828,0.0,9.2209,False,True,169.44,-2.9275,163.17,-6.5196,167.6,-3.9817,182.0,4.2681
TSLA,2024-10-23,AMC,2025-02-03,2025-02-03,389.5,385.55,389.5,404.66,374.36,30.3,389.51,-1.0141,-0.6944,-0.3197,0.0,5.3591,False,False,386.01,-0.896,373.41,-4.1309,358.14,-8.0513,353.92,-9.1348
TSLA,2025-01-29,AMC,2025-02-03,2025-02-03,389.5,385.55,389.5,404.66,374.36,30.3,389.51,-1.0141,-0.6944,-0.3197,24.0,-1.6761,False,False,386.01,-0.896,373.41,-4.1309,358.14,-8.0513,353.92,-9.1348
TSLA,2025-04-22,AMC,2025-04-22,2025-04-23,230.63,249.68,256.56,258.13,227.26,30.87,242.695,8.26,2.6929,5.5671,17.9487,2.9638,True,True,252.17,-1.7111,285.0,11.0851,285.8,11.3969,284.64,10.9448
TSLA,2025-07-22,AMC,2025-07-22,2025-07-23,329.45,332.19,331.09,334.6,330.6,4.0,332.6,0.8317,0.3626,0.4691,0.0,-0.9363,False,False,310.09,-6.3427,317.7,-4.0442,325.21,-1.776,310.36,-6.2611
TSLA,2025-10-21,AMC,2025-10-21,2025-10-22,446.11,441.32,442.71,445.01,432.35,12.66,438.68,-1.0737,-0.0864,-0.9873,6.25,3.038,True,False,422.18,-4.6373,433.72,-2.0307,455.59,2.9094,455.66,2.9252
TSLA,2026-01-27,AMC,2026-01-27,2026-01-28,437.23,431.99,434.14,437.87,430.9,6.97,434.385,-1.1985,0.2602,-1.4587,7.2289,5.8688,True,True,438.22,0.9398,429.63,-1.0388,426.17,-1.8358,410.24,-5.5051
TSM,2025-01-16,AMC,2025-02-03,2025-02-03,198.01,197.1511,198.01,206.59,195.3943,11.1957,200.9921,-0.4338,-0.6944,0.2606,9.1525,-2.0882,False,False,201.44,1.7322,204.7,3.3786,206.18,4.1261,202.68,2.3585
TSM,2025-04-17,AMC,2025-04-17,2025-04-21,154.67,148.2987,147.59,150.35,144.8902,5.4598,147.6201,-4.1193,-1.0999,-3.0193,1.3793,-0.8853,False,True,147.24,-0.2371,157.18,6.4977,163.4,10.7121,178.57,20.9906
TSM,2025-07-17,AMC,2025-07-17,2025-07-18,244.16,242.7525,242.99,245.39,237.6716,7.7184,241.5308,-0.5765,0.1452,-0.7217,21.3559,8.0269,True,False,239.24,-1.5433,236.09,-2.8396,239.7,-1.354,235.79,-2.9631
TSM,2025-10-16,AMC,2025-10-16,2025-10-17,311.11,300.913,295.74,302.5089,289.35,13.1589,295.9294,-3.2776,-0.0242,-3.2534,-13.1313,1.607,False,True,301.11,1.8158,291.74,-1.3525,294.22,-0.514,304.12,2.8336
TSM,2026-01-15,AMC,2026-01-15,2026-01-16,345.69,348.88,345.12,349.85,341.64,8.21,345.745,0.9228,0.2569,0.6659,28.4672,7.3317,True,False,340.04,-1.472,332.4,-3.6857,332.28,-3.7204,329.17,-4.6216
TXN,2024-10-22,AMC,2025-02-03,2025-02-03,175.99,174.144,175.99,178.93,172.9082,6.0218,175.9191,-1.0489,-0.6944,-0.3545,19.375,-2.762,False,False,174.07,-1.091,176.4,0.233,175.14,-0.483,177.11,0.6364
TXN,2025-01-23,AMC,2025-02-03,2025-02-03,175.99,174.144,175.99,178.93,172.9082,6.0218,175.9191,-1.0489,-0.6944,-0.3545,29.8913,6.4667,True,False,174.07,-1.091,176.4,0.233,175.14,-0.483,177.11,0.6364
TXN,2025-04-22,AMC,2025-04-22,2025-04-23,139.67,147.6892,148.28,150.1462,142.24,7.9062,146.1931,5.7415,2.6929,3.0486,-1.0471,1.7577,False,True,161.28,8.7672,157.85,6.454,153.02,3.1967,158.36,6.7979
TXN,2025-07-22,AMC,2025-07-22,2025-07-23,207.9,186.4054,189.92,210.07,183.3114,26.7586,196.6907,-10.3389,0.3626,-10.7015,-1.2048,4.3154,False,True,181.6,-4.3808,183.13,-3.5752,187.68,-1.1794,182.57,-3.8701
TXN,2025-10-21,AMC,2025-10-21,2025-10-22,177.26,165.7704,161.75,178.09,160.5609,17.5291,169.3254,-6.4818,-0.0864,-6.3954,1.5707,-1.8346,False,True,166.08,2.677,168.05,3.8949,164.73,1.8423,158.44,-2.0464
TXN,2026-01-27,AMC,2026-01-27,2026-01-28,194.07,206.142,208.3,214.09,195.34,18.75,204.715,6.2204,0.2602,5.9602,6.0302,-4.9599,False,True,213.64,2.5636,214.02,2.746,217.36,4.3495,217.22,4.2823
V,2024-10-29,AMC,2025-02-03,2025-02-03,333.12,339.1116,333.12,341.8743,327.26,14.6143,334.5671,1.7986,-0.6944,2.493,9.3284,5.6043,True,False,342.18,2.7197,346.93,4.1457,345.84,3.8184,352.03,5.6766
V,2025-01-30,AMC,2025-02-03,2025-02-03,333.12,339.1116,333.12,341.8743,327.26,14.6143,334.5671,1.7986,-0.6944,2.493,20.9836,6.8174,True,False,342.18,2.7197,346.93,4.1457,345.84,3.8184,352.03,5.6766
V,2025-04-29,AMC,2025-04-29,2025-04-30,335.2,339.4517,334.07,343.44,330.7763,12.6637,337.1082,1.2684,-1.3886,2.657,1.7007,3.1684,True,False,343.45,2.8078,343.89,2.9395,345.88,3.5352,354.09,5.9928
V,2025-07-29,AMC,2025-07-29,2025-07-30,353.75,352.8847,342.02,354.5699,339.49,15.0799,347.03,-0.2446,0.0866,-0.3312,-6.0606,-2.5112,True,True,348.53,1.9034,342.77,0.2193,336.6,-1.5847,336.24,-1.69
V,2025-10-28,AMC,2025-10-28,2025-10-29,347.61,342.166,342.69,350.09,340.7393,9.3507,345.4146,-1.5661,0.2693,-1.8354,0.4065,-3.1347,False,True,338.78,-1.141,339.73,-0.8638,338.76,-1.1468,337.13,-1.6225
V,2026-01-29,AMC,2026-01-29,2026-01-30,329.68,326.219,327.5,332.3215,322.0126,10.3089,327.167,-1.0498,-0.1297,-0.9201,1.6502,2.4069,True,False,322.84,-1.4229,328.83,0.4061,329.79,0.6992,329.44,0.5924
